"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Step2IT GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"26.06.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"86caa74fe8f8b5b5";"69828";"Thu Jul 16 10:41:55 2020"
"Step2IT GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.10.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"478fed57e1100287";"69828";"Thu Jul 16 10:41:55 2020"
"Step2IT GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.10.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"15681744d3b416e4";"69828";"Thu Jul 16 10:41:55 2020"
"Step2IT GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"03.11.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"8bb6be54c74d397f";"69828";"Thu Jul 16 10:41:55 2020"
"Step2IT GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.09.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"19b7d65379a7f090";"69828";"Thu Jul 16 10:41:55 2020"
"Step2IT GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"17.12.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"de82068e8f0f9863";"69828";"Thu Jul 16 10:41:55 2020"
"Step2IT GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"21.01.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"f5240a1e9904d676";"69828";"Thu Jul 16 10:41:55 2020"
"Step2IT GmbH Frankfurt am Main (vormals: Münchberg)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"11.02.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"c22d3271d2463285";"69828";"Thu Jul 16 10:41:55 2020"
"Step2IT GmbH Frankfurt am Main (vormals: Münchberg)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"15.02.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"01839f67b8f4a657";"69828";"Thu Jul 16 10:41:55 2020"
"Step2IT GmbH Münchberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 28.06.2010 bis zum 31.12.2010";"07.02.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"a5d3c3a1f97d97e8";"69828";"Thu Jul 16 10:41:55 2020"
