"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.03.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"00a3c7ee75284ce0";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"15.03.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"f7bdfe1fd71e3910";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"29.12.2017";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"dacb8068a34dc5d5";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.01.2017";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"2f1aa8e8be545e48";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.01.2016";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"b6df44075fc0bb68";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"22.01.2015";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"e68882393c92d04c";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Berichtigung der Veröffentlichung vom 22.01.2014";"12.02.2014";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"aba01ee61530e978";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 Berichtigt am 12.02.2014";"22.01.2014";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"76a80a830f3e1125";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.02.2013";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"dcb4f6fa78e92f72";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"13.04.2011";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"5880ee48ebca982c";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"12.04.2011";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"ec241f94ee7e03ab";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"08.03.2010";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"b5730d177d39b198";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis Aktiengesellschaft Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"11.08.2009";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"b1bc2a672aa7dd1a";"96656";"Tue Jul 14 03:28:36 2020"
"Strategis AG Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"07.03.2008";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"3df30efead51555d";"96656";"Tue Jul 14 03:28:36 2020"
