"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzung der Veröffentlichung vom 09.04.2020";"11.05.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"8adda66be19b9e62";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzt am 11.05.2020";"09.04.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"76725acdd0ba616b";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.06.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"0fd542868cb05bde";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Berichtigung der Veröffentlichung vom 06.01.2016";"17.05.2018";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"066da8ff4c5e0283";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Berichtigung der Veröffentlichung vom 20.01.2017";"15.05.2018";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"41472bd1a03028c6";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.04.2018";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"7c51f094a0f58456";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Berichtigt am 15.05.2018";"20.01.2017";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"7398c26ccaeae4f5";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Berichtigt am 17.05.2018";"06.01.2016";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"945833f8d9a23869";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"11.03.2015";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"8f7e49ea570d33e9";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"22.01.2014";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"376ed418c731d481";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.01.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"92923c458d7214fc";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"25.11.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"0f7934fe0342be33";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"03.12.2010";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"395f41c0596f451b";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"17.12.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"5d535ca933f8663a";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"19.02.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"fcd28d7f2931e83b";"97237";"Thu Jul 16 06:07:14 2020"
"TDM Systems GmbH Tübingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"03.06.2008";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"09acc4388ca51dda";"97237";"Thu Jul 16 06:07:14 2020"
