"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"BHT-Baugrund Hessen-Thüringen-Gesellschaft für Baulandbeschaffung,  Erschließung und Kommunalbau mbH & Co. Objekt TFK II Tiefgarage Kassel 2. BA KG Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"31.01.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"9f92b4deae3d3dcb";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Technologies GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.11.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"b6331d4d8cf80795";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Trends For Kids GmbH Vertrieb von Kinder-Trend-Artikeln Ergolding";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.05.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"c35d3604671e1e3a";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Tax Force Kraft Steuerberatungsgesellschaft mbH (vormals: Kraft Steuerberatungsgesellschaft
                                       mbH) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.03.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"975048e78969e806";"26631";"Tue Jul 14 21:56:20 2020"
"BHT-Baugrund Hessen-Thüringen-Gesellschaft für Baulandbeschaffung,  Erschließung und Kommunalbau mbH & Co. Objekt TFK II Tiefgarage Kassel 2. BA KG Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"19.12.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"94286edee3df6ff5";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Technologies GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.09.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"587c832aa0f7813b";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Trends For Kids GmbH Vertrieb von Kinder-Trend-Artikeln Ergolding";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"03.05.2018";"83%";"c1affca00be00815e8f7ff00abde0b30";"136d82e1996680fa";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Hessengrund-Gesellschaft für Baulandbeschaffung,  Erschließung und Kommunalbau mbH & Co. Objekt Tiefgarage Friedrichsplatz Kassel KG Kassel";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 01.11.2015";"21.03.2018";"83%";"c1affca00be00815e8f7ff00abde0b30";"35c4be87c5ab04f3";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Hessengrund-Gesellschaft für Baulandbeschaffung,  Erschließung und Kommunalbau mbH & Co. Objekt Tiefgarage Friedrichsplatz Kassel KG Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2015 bis zum 31.12.2015";"20.03.2018";"83%";"c1affca00be00815e8f7ff00abde0b30";"94a62bbd1675f080";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Hessengrund-Gesellschaft für Baulandbeschaffung,  Erschließung und Kommunalbau mbH & Co. Objekt Tiefgarage Friedrichsplatz Kassel KG Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.10.2015";"20.03.2018";"83%";"c1affca00be00815e8f7ff00abde0b30";"3e4552da615dd04b";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Hessengrund-Gesellschaft für Baulandbeschaffung,  Erschließung und Kommunalbau mbH & Co. Objekt Tiefgarage Friedrichsplatz Kassel KG Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.01.2018";"83%";"c1affca00be00815e8f7ff00abde0b30";"904366cc455cb008";"26631";"Tue Jul 14 21:56:20 2020"
"BHT-Baugrund Hessen-Thüringen-Gesellschaft für Baulandbeschaffung,  Erschließung und Kommunalbau mbH & Co. Objekt TFK II Tiefgarage Kassel 2. BA KG Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"25.01.2018";"83%";"c1affca00be00815e8f7ff00abde0b30";"4bc2d53931139f90";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Technologies GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.10.2017";"83%";"c1affca00be00815e8f7ff00abde0b30";"b91498f9f1f8ef6d";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Trends For Kids GmbH Vertrieb von Kinder-Trend-Artikeln Ergolding";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"23.06.2017";"83%";"c1affca00be00815e8f7ff00abde0b30";"2ce0c13a6ec40a96";"26631";"Tue Jul 14 21:56:20 2020"
"BHT-Baugrund Hessen-Thüringen-Gesellschaft für Baulandbeschaffung,  Erschließung und Kommunalbau mbH & Co. Objekt TFK II Tiefgarage Kassel 2. BA KG Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.01.2017";"83%";"c1affca00be00815e8f7ff00abde0b30";"4f694a5388c9e3f5";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Trends For Kids GmbH Vertrieb von Kinder-Trend-Artikeln Ergolding";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"21.07.2016";"83%";"c1affca00be00815e8f7ff00abde0b30";"2582c4952ef2c96e";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Technologies GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"15.07.2016";"83%";"c1affca00be00815e8f7ff00abde0b30";"b28863b12220f9ee";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Hessengrund-Gesellschaft für Baulandbeschaffung,  Erschließung und Kommunalbau mbH & Co. Objekt Tiefgarage Friedrichsplatz Kassel KG Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.10.2015";"83%";"c1affca00be00815e8f7ff00abde0b30";"99fad99d0aae5afe";"26631";"Tue Jul 14 21:56:20 2020"
"TFK Trends For Kids GmbH Vertrieb von Kinder-Trend-Artikeln Ergolding";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.09.2015";"83%";"c1affca00be00815e8f7ff00abde0b30";"3740dfccc0adbc9a";"26631";"Tue Jul 14 21:56:20 2020"
"BHT-Baugrund Hessen-Thüringen-Gesellschaft für Baulandbeschaffung,  Erschließung und Kommunalbau mbH & Co. Objekt TFK II Tiefgarage Kassel 2. BA KG Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.08.2015";"83%";"c1affca00be00815e8f7ff00abde0b30";"04fdf280fff80a97";"26631";"Tue Jul 14 21:56:20 2020"
