"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2018 bis zum 31.05.2019";"20.05.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"ccc006f8782e366c";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.06.2017 bis zum 31.05.2018";"03.06.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"bca14e363c1e488e";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.05.2017 Berichtigung der Veröffentlichung vom 03.09.2018";"15.03.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"ccf0beb5b1bd352d";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzung der Veröffentlichung vom 22.05.2018";"27.02.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"6cd5cd87b5adb35e";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.05.2017 Berichtigt am 15.03.2019";"03.09.2018";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"945c1ddb33daf46e";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Ergänzt am 27.02.2019";"22.05.2018";"99%";"9f0e12c7f320e17bd3028846fa49a6eb";"69183e7e1830038d";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.04.2016";"99%";"9f0e12c7f320e17bd3028846fa49a6eb";"4022739115b3cced";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.04.2015";"99%";"9f0e12c7f320e17bd3028846fa49a6eb";"afb7e0db1820ea94";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"30.04.2014";"99%";"9f0e12c7f320e17bd3028846fa49a6eb";"5f2dcebeb2cc14ac";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"21.05.2013";"99%";"9f0e12c7f320e17bd3028846fa49a6eb";"a4b13b44b6e89e47";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.05.2012";"99%";"9f0e12c7f320e17bd3028846fa49a6eb";"31195b29d497ae88";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"29.04.2011";"99%";"9f0e12c7f320e17bd3028846fa49a6eb";"69ff391b08e21033";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.06.2010";"99%";"9f0e12c7f320e17bd3028846fa49a6eb";"11ecbcc80eca201b";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.10.2009";"99%";"9f0e12c7f320e17bd3028846fa49a6eb";"735bca863bdfee09";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"18.02.2009";"99%";"9f0e12c7f320e17bd3028846fa49a6eb";"3051df756814e82b";"15893";"Tue Jul 14 06:33:27 2020"
"TNT Akademie Gesellschaft für Training und Personalentwicklung mbH Troisdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"20.12.2007";"99%";"9f0e12c7f320e17bd3028846fa49a6eb";"5958f648da76c8cb";"15893";"Tue Jul 14 06:33:27 2020"
