"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"26.05.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"c6685946c23bf9ad";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.05.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"d6976174229626d8";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.06.2018";"95%";"c1affca00be00815e8f7ff00abde0b30";"ccc1167b7b246000";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.06.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"79e495f891e75ffb";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"14.06.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"9003f44eec874edb";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"10.09.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"fe6be4ff0d682be3";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"24.09.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"6284dd5a8dc03aa2";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"09.08.2013";"95%";"c1affca00be00815e8f7ff00abde0b30";"ac9c62bed09a60ec";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"18.06.2012";"95%";"c1affca00be00815e8f7ff00abde0b30";"f100266f76bb6150";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.11.2011";"95%";"c1affca00be00815e8f7ff00abde0b30";"f1ef95cdb5311a2b";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"12.10.2010";"95%";"c1affca00be00815e8f7ff00abde0b30";"ecb1f05935c8bfdb";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"04.12.2009";"95%";"c1affca00be00815e8f7ff00abde0b30";"aa4730c731061e44";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"10.12.2008";"95%";"c1affca00be00815e8f7ff00abde0b30";"ec4b0b16e21ec905";"43733";"Wed Jul 15 09:19:43 2020"
"TelemaxX Telekommunikation GmbH Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"18.10.2007";"95%";"c1affca00be00815e8f7ff00abde0b30";"a1b12054848368b9";"43733";"Wed Jul 15 09:19:43 2020"
