"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.03.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"6b51e2d2529f8336";"80796";"Wed Jul 15 00:02:27 2020"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.02.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"06b841ff5c495ebd";"80796";"Wed Jul 15 00:02:27 2020"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"12.03.2018";"95%";"c1affca00be00815e8f7ff00abde0b30";"2591721d89e4bef5";"80796";"Wed Jul 15 00:02:27 2020"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.02.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"9b986d855bba6a9b";"80796";"Wed Jul 15 00:02:27 2020"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.01.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"35a1ff1b2a73a0d7";"80796";"Wed Jul 15 00:02:27 2020"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"23.12.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"3fd3cc15c6f727c1";"80796";"Wed Jul 15 00:02:27 2020"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.04.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"9466e0c277226639";"80796";"Wed Jul 15 00:02:27 2020"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"28.11.2012";"95%";"c1affca00be00815e8f7ff00abde0b30";"db36aba8cd24ced1";"80796";"Wed Jul 15 00:02:27 2020"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"28.12.2011";"95%";"c1affca00be00815e8f7ff00abde0b30";"e1a9e18c228b5a90";"80796";"Wed Jul 15 00:02:27 2020"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"24.03.2011";"95%";"c1affca00be00815e8f7ff00abde0b30";"348e1331bfba15e6";"80796";"Wed Jul 15 00:02:27 2020"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"08.03.2010";"95%";"c1affca00be00815e8f7ff00abde0b30";"637afcfefface496";"80796";"Wed Jul 15 00:02:27 2020"
"Telesense Kommunikation GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"26.02.2009";"95%";"c1affca00be00815e8f7ff00abde0b30";"9467d749e40d532e";"80796";"Wed Jul 15 00:02:27 2020"
