"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2018 bis zum 31.05.2019 News Germany Holding GmbH (Berlin)";"17.07.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"b2a71f6cf770be52";"43470";"Wed Jul 15 20:41:18 2020"
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2017 bis zum 31.05.2018 News Germany Holding GmbH (Berlin)";"29.06.2018";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"3bc4742971a7a980";"43470";"Wed Jul 15 20:41:18 2020"
"News Germany Holding GmbH Berlin";"» Konzernabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"09.07.2019";"aba51bcc9fdd59516710d900a8a5ca24";"3bc4742971a7a980";"43470";"Wed Jul 15 20:41:18 2020";"";""
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2016 bis zum 31.05.2017 News Germany Holding GmbH (Berlin)";"11.07.2017";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"26d2aa9d2d083c8d";"43470";"Wed Jul 15 20:41:18 2020"
"News Germany Holding GmbH Berlin";"» Konzernabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017";"05.07.2018";"aba51bcc9fdd59516710d900a8a5ca24";"26d2aa9d2d083c8d";"43470";"Wed Jul 15 20:41:18 2020";"";""
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2015 bis zum 31.05.2016 News Germany Holding GmbH (Berlin)";"07.06.2016";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"2f5751e17c400add";"43470";"Wed Jul 15 20:41:18 2020"
"News Germany Holding GmbH Berlin";"» Konzernabschluss zum Geschäftsjahr vom 01.07.2015 bis zum 30.06.2016";"26.07.2017";"aba51bcc9fdd59516710d900a8a5ca24";"2f5751e17c400add";"43470";"Wed Jul 15 20:41:18 2020";"";""
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2014 bis zum 31.05.2015 News Germany Holding GmbH (Berlin)";"23.07.2015";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"4ee8521ca037d552";"43470";"Wed Jul 15 20:41:18 2020"
"News Germany Holding GmbH Berlin";"» Konzernabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015";"18.08.2016";"aba51bcc9fdd59516710d900a8a5ca24";"4ee8521ca037d552";"43470";"Wed Jul 15 20:41:18 2020";"";""
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2013 bis zum 31.05.2014 News Germany Holding GmbH (Berlin)";"07.08.2014";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"0dc4f85dff9a99ef";"43470";"Wed Jul 15 20:41:18 2020"
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2012 bis zum 31.05.2013 News Germany Holding GmbH (Berlin)";"06.05.2013";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"e5e136e82d858fa9";"43470";"Wed Jul 15 20:41:18 2020"
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2011 bis zum 31.05.2012 News Germany Holding GmbH (Berlin)";"20.04.2012";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"50844a975459b69c";"43470";"Wed Jul 15 20:41:18 2020"
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2010 bis zum 31.05.2011 News Germany Holding GmbH (Berlin)";"08.06.2011";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"6dd416afc0c3e3a4";"43470";"Wed Jul 15 20:41:18 2020"
"Twentieth Century Fox Home Entertainment Germany GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.06.2009 bis zum 31.05.2010 News Germany Holding GmbH (Berlin)";"02.02.2011";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"6f2c1ff89610b3eb";"43470";"Wed Jul 15 20:41:18 2020"
