"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"UMFULANA GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.06.2019";"100%";"ae177b98a82d48c25f2edcdf5b6623e4";"9e125330248e1737";"61142";"Tue Jul 14 22:59:41 2020"
"UMFULANA GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.05.2018";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"a4693400ab3de201";"61142";"Tue Jul 14 22:59:41 2020"
"UMFULANA GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.08.2017";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"8d95ab7d6ae73aa5";"61142";"Tue Jul 14 22:59:41 2020"
"UMFULANA GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.06.2016";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"518838d5310a0cb9";"61142";"Tue Jul 14 22:59:41 2020"
"UMFULANA GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"13.07.2015";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"ff824f3fdcd18e34";"61142";"Tue Jul 14 22:59:41 2020"
"UMFULANA GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"19.05.2014";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"dc024bb3a96d7665";"61142";"Tue Jul 14 22:59:41 2020"
"UMFULANA GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.06.2013";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"cb4eff93b0bb172f";"61142";"Tue Jul 14 22:59:41 2020"
"UMFULANA GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"05.12.2012";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"a45946faedfed9c6";"61142";"Tue Jul 14 22:59:41 2020"
"UMFULANA - individuelles Reisen GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"01.08.2011";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"611141dbbac7151b";"61142";"Tue Jul 14 22:59:41 2020"
"UMFULANA - individuelles Reisen GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"01.09.2010";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"56c450dba96b0fc2";"61142";"Tue Jul 14 22:59:41 2020"
"UMFULANA - individuelles Reisen GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"19.01.2010";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"c6e9430a21fbc88a";"61142";"Tue Jul 14 22:59:41 2020"
"UMFULANA - individuelles Reisen GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"05.02.2009";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"9280e4c02d460d90";"61142";"Tue Jul 14 22:59:41 2020"
"Umfulana - individuelles Reisen GmbH Kürten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"11.01.2008";"92%";"ae177b98a82d48c25f2edcdf5b6623e4";"dc9c71f9556c38b3";"61142";"Tue Jul 14 22:59:41 2020"
