"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Private Universität Witten/Herdecke gemeinnützige Gesellschaft mit beschränkter Haftung Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.10.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"8f65dad701222e5b";"41482";"Mon Jul 13 23:12:22 2020"
"Private Universität Witten/Herdecke gemeinnützige Gesellschaft mit beschränkter Haftung Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.09.2018";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"cd1f9716ec4537ef";"41482";"Mon Jul 13 23:12:22 2020"
"Private Universität Witten/Herdecke gemeinnützige Gesellschaft mit beschränkter Haftung Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"27.10.2017";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"4273906ab581a075";"41482";"Mon Jul 13 23:12:22 2020"
"Private Universität Witten/Herdecke gemeinnützige Gesellschaft mit beschränkter Haftung Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"30.09.2016";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"c762c1a9cc9c3b9d";"41482";"Mon Jul 13 23:12:22 2020"
"IEEM gGmbH (vormals: IEEM - Institut für Umwelttechnik und Management an der Universität
                                       Witten/Herdecke gGmbH) Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"23.11.2015";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"e1413d7eeb86b910";"41482";"Mon Jul 13 23:12:22 2020"
"Private Universität Witten/Herdecke gemeinnützige Gesellschaft mit beschränkter Haftung Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"25.06.2015";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"3b439f79138c5f2a";"41482";"Mon Jul 13 23:12:22 2020"
"Private Universität Witten/Herdecke gemeinnützige Gesellschaft mit beschränkter Haftung Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"09.03.2015";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"4cb8dba9cb7ab12e";"41482";"Mon Jul 13 23:12:22 2020"
"IEEM gGmbH (vormals: IEEM - Institut für Umwelttechnik und Management an der Universität
                                       Witten/Herdecke gGmbH) Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.02.2015";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"67516889adbe16f0";"41482";"Mon Jul 13 23:12:22 2020"
"Institut für angewandte Biotechnik und Systemanalyse an der Universität Witten/Herdecke
                                       gGmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"01.12.2014";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"91fd260e88eb58bb";"41482";"Mon Jul 13 23:12:22 2020"
"IUU Institut für Unternehmer- und Unternehmensentwicklung GmbH an der Universität
                                       Witten/Herdecke Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"31.01.2014";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"cd09b0dfa10401ea";"41482";"Mon Jul 13 23:12:22 2020"
"IEEM - Institut für Umwelttechnik und Management an der Universität Witten/Herdecke
                                       gGmbH (vormals: Institut für Umwelttechnik und Management an der Universität Witten/Herdecke
                                       gGmbH) Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.11.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"b5d4b8b8d53a10b4";"41482";"Mon Jul 13 23:12:22 2020"
"Private Universität Witten/Herdecke gemeinnützige Gesellschaft mit beschränkter Haftung Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.08.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"a24715c7aae999bd";"41482";"Mon Jul 13 23:12:22 2020"
"Private Universität Witten/Herdecke gemeinnützige Gesellschaft mit beschränkter Haftung Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.07.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"b47af2af980e5e44";"41482";"Mon Jul 13 23:12:22 2020"
"IUU Institut für Unternehmer- und Unternehmensentwicklung GmbH an der Universität
                                       Witten/Herdecke Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.01.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"6cfd8c2407f10b07";"41482";"Mon Jul 13 23:12:22 2020"
"Institut für angewandte Biotechnik und Systemanalyse an der Universität Witten/Herdecke
                                       gGmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"11.12.2012";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"c520cb29dd98b7c2";"41482";"Mon Jul 13 23:12:22 2020"
"Institut für angewandte Biotechnik und Systemanalyse an der Universität Witten/Herdecke
                                       gGmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"11.12.2012";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"e6107bc58fa6c9cb";"41482";"Mon Jul 13 23:12:22 2020"
