"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.12.2019";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"5352dd14652819d9";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.01.2019";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"9a81349c814c94e1";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"04.01.2018";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"44c752471aaa7dad";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"14.03.2017";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"0d2ce0fd7db476d2";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"18.11.2015";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"0594986b4df59105";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"13.11.2015";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"9336515c4585a667";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"19.03.2014";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"a5a5fd3aca5f7056";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"15.03.2013";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"098a11e5950236ea";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.02.2012";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"3852db5f4091f0c4";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"24.08.2010";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"25ed3ba2787dd970";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"04.03.2010";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"c86824dc23e1c577";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"03.12.2008";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"828aced4c5aecb8f";"77069";"Mon Jul 13 13:49:16 2020"
"Urban Science International GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"20.06.2008";"97%";"1d7580fe1877930fb5835ea85d1f7b11";"890350c1d47b7603";"77069";"Mon Jul 13 13:49:16 2020"
"LBS Landesbausparkasse Südwest Stuttgart";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"15.08.2019";"7%";"1d7580fe1877930fb5835ea85d1f7b11";"faeeb460ecfdcb79";"77069";"Mon Jul 13 13:49:16 2020"
"LBS Landesbausparkasse Südwest Stuttgart";"Rechnungslegung/ Finanzberichte";"» Entsprechenserklärung zur Nutzung als nichtfinanzielle Erklärung im Sinne des CSR-Richtlinie-Umsetzungsgesetzes
                                          für das Jahr 2017";"07.09.2018";"7%";"1d7580fe1877930fb5835ea85d1f7b11";"4fc18025ffcf7bf7";"77069";"Mon Jul 13 13:49:16 2020"
