"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018 Ergänzung der Veröffentlichung vom 16.07.2019";"19.08.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"bbe8eaf59b70102d";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018 Ergänzt am 19.08.2019";"16.07.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"9822ede46f19291c";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017";"09.07.2018";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"ef39b5a1cce81854";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2015 bis zum 30.06.2016";"05.09.2017";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"8f1ddf6cdea1fd59";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015 Berichtigung der Veröffentlichung vom 09.09.2016";"28.10.2016";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"ac815cbf423d6e3e";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015 Berichtigt am 28.10.2016";"09.09.2016";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"228d852b0e3621b6";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2013 bis zum 30.06.2014 Ergänzung der Veröffentlichung vom 22.09.2015";"11.05.2016";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"fed75ddead11c66b";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2013 bis zum 30.06.2014 Ergänzt am 11.05.2016";"22.09.2015";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"a53f8f79231cc350";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2012 bis zum 30.06.2013";"10.06.2014";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"0d615a90b0e024ed";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2011 bis zum 30.06.2012";"24.06.2013";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"e982bb90f1c1dc4c";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2010 bis zum 30.06.2011";"15.05.2012";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"b2fecc9de878b569";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2009 bis zum 30.06.2010";"22.08.2011";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"f5be8dfd9d128eb0";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2008 bis zum 30.06.2009";"31.08.2010";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"4da78c0c2d167f3b";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH Beratung für und Organisation von Veranstaltungen München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2007 bis zum 30.06.2008";"03.09.2009";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"f5d8d58c84f6e196";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH Beratung für und Organisation von Veranstaltungen München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 30.06.2007";"04.11.2008";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"d59fd5ff17b6259f";"86506";"Wed Jul 15 17:46:17 2020"
"VBA Events GmbH Beratung für und Organisation von Veranstaltungen München";"Rechnungslegung/ Finanzberichte";"» JAHRESABSCHLUSS zum 30. Juni 2006";"21.12.2007";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"72a682e45b13ec21";"86506";"Wed Jul 15 17:46:17 2020"
