"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Valentin Software GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.09.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"265ce190842e90a1";"40843";"Wed Jul 15 23:48:12 2020"
"Valentin Software GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.12.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"8dba2ba89a83c504";"40843";"Wed Jul 15 23:48:12 2020"
"Valentin Software GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.12.2017";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"1f3db0c44ab77e48";"40843";"Wed Jul 15 23:48:12 2020"
"Valentin Software GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.11.2016";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"37b53d6f9549f601";"40843";"Wed Jul 15 23:48:12 2020"
"Valentin Software GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.01.2016";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"f3c9966951475842";"40843";"Wed Jul 15 23:48:12 2020"
"Valentin Software GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"12.09.2014";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"4a244122b0250f8b";"40843";"Wed Jul 15 23:48:12 2020"
"Dr. Valentin EnergieSoftware GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"26.09.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"bd5b588b52e7ded6";"40843";"Wed Jul 15 23:48:12 2020"
"Dr. Valentin EnergieSoftware GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"26.04.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"1dfce80533c47a0e";"40843";"Wed Jul 15 23:48:12 2020"
"Dr. Valentin EnergieSoftware GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.11.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"f489bb8df2fc38e5";"40843";"Wed Jul 15 23:48:12 2020"
"Dr. Valentin EnergieSoftware GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"27.07.2010";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"8f117f5e37642e69";"40843";"Wed Jul 15 23:48:12 2020"
"Dr. Valentin EnergieSoftware GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"02.11.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"cc5988e356fef614";"40843";"Wed Jul 15 23:48:12 2020"
"Dr. Valentin EnergieSoftware GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"21.11.2008";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"0510dec256b7495a";"40843";"Wed Jul 15 23:48:12 2020"
"Dr. Valentin EnergieSoftware GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"30.11.2007";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"dac4ba21fcbb021a";"40843";"Wed Jul 15 23:48:12 2020"
"NanoFocus AG Oberhausen";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht 2009";"21.09.2009";"5%";"aba51bcc9fdd59516710d900a8a5ca24";"aebc4893a1f32ab2";"40843";"Wed Jul 15 23:48:12 2020"
"TOMORROW FOCUS AG München";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum 31. Dezember 2006";"13.02.2008";"5%";"aba51bcc9fdd59516710d900a8a5ca24";"fe748599c92a9842";"40843";"Wed Jul 15 23:48:12 2020"
"Klöckner-Werke AG Duisburg";"Rechnungslegung/ Finanzberichte";"» Konzern-Zwischenbericht zum 30. September 2007";"15.11.2007";"5%";"aba51bcc9fdd59516710d900a8a5ca24";"0de0f0c8d6367acd";"40843";"Wed Jul 15 23:48:12 2020"
"Klöckner-Werke AG Duisburg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2007";"30.08.2007";"5%";"aba51bcc9fdd59516710d900a8a5ca24";"7cd989245d336f8c";"40843";"Wed Jul 15 23:48:12 2020"
