"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2017 bis zum 31.10.2018";"16.01.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"5ab0c81e92573da1";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2016 bis zum 31.10.2017";"28.12.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"73ec914c13b80d6b";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2015 bis zum 31.10.2016 Berichtigung der Veröffentlichung vom 23.05.2018";"13.06.2018";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"30fccf825666595a";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2015 bis zum 31.10.2016 Berichtigt am 13.06.2018";"23.05.2018";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"a7c1b5505fd18c0f";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2014 bis zum 31.10.2015";"26.02.2018";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"f695cbacca74011b";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2013 bis zum 31.10.2014";"03.11.2017";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"04b1f820a6af6917";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2012 bis zum 31.10.2013";"20.10.2016";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"cf4be373e24240dc";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2011 bis zum 31.10.2012";"04.12.2014";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"3a0ea41ed74d702e";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2010 bis zum 31.10.2011";"06.12.2012";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"bc97d3366c740c53";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2009 bis zum 31.10.2010";"31.10.2011";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"66fb2a66e869cf0e";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2008 bis zum 31.10.2009";"07.04.2010";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"0d8506b3759bbb11";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2007 bis zum 31.10.2008";"09.11.2009";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"a7201a52d614cbda";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.10.2007";"17.10.2008";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"1453df90ea11fa6e";"89103";"Thu Jul 16 12:07:08 2020"
"Volt Delta International GmbH München";"Rechnungslegung/ Finanzberichte";"» Hinterlegungsbekanntmachung Jahresabschluss zum 31.10.2006";"10.12.2007";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"f05d213de903a0d1";"89103";"Thu Jul 16 12:07:08 2020"
