"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"22.10.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"ed69f7c65b4cd60e";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"02.01.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"0a9233b5ca7f7608";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.02.2018";"95%";"af75d5dc888ac79ae50ee77806ec50af";"8a1ea51358f76b7c";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"06.03.2017";"95%";"af75d5dc888ac79ae50ee77806ec50af";"f7891846db74fb7e";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"17.02.2016";"95%";"af75d5dc888ac79ae50ee77806ec50af";"be753fe2fb349431";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"14.11.2014";"95%";"af75d5dc888ac79ae50ee77806ec50af";"651aea2fcf3c8e09";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"19.12.2013";"95%";"af75d5dc888ac79ae50ee77806ec50af";"d1fb91491322890c";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"01.02.2013";"95%";"af75d5dc888ac79ae50ee77806ec50af";"dd0c90d882744ad1";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.12.2011";"95%";"af75d5dc888ac79ae50ee77806ec50af";"d57272cb52319b1a";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"26.01.2011";"95%";"af75d5dc888ac79ae50ee77806ec50af";"9239d57ced67cd29";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"04.01.2010";"95%";"af75d5dc888ac79ae50ee77806ec50af";"4059ac3254d37c9c";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"25.06.2008";"95%";"af75d5dc888ac79ae50ee77806ec50af";"1ef5b8bdcf3d4008";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS Aktiengesellschaft Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"19.12.2007";"95%";"af75d5dc888ac79ae50ee77806ec50af";"bbdbb10bdfca9d0c";"50547";"Wed Jul 15 12:05:32 2020"
"WIBU-SYSTEMS AG Karlsruhe";"Rechnungslegung/ Finanzberichte";"» Hinterlegungsbekanntmachung Jahresabschluss zum 31.12.2005";"20.07.2007";"95%";"af75d5dc888ac79ae50ee77806ec50af";"717a6b6e89b96725";"50547";"Wed Jul 15 12:05:32 2020"
