"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Waschwelt Süd GmbH u. Co. KG Burgau";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 SÜDRAMOL GmbH & Co. KG (Burgau)";"09.01.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"de149cd099a0dbf5";"95513";"Thu Jul 16 01:22:57 2020"
"SÜDRAMOL GmbH & Co. KG Burgau";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.01.2020";"0e6ad8a5ee8151adc1fb7843153d0870";"de149cd099a0dbf5";"95513";"Thu Jul 16 01:22:57 2020";"";""
"Waschwelt Süd GmbH u. Co. KG Burgau";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 SÜDRAMOL GmbH & Co. KG (Burgau)";"18.01.2019";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"9a197ce34c820e84";"95513";"Thu Jul 16 01:22:57 2020"
"SÜDRAMOL GmbH & Co. KG Burgau";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.01.2019";"0e6ad8a5ee8151adc1fb7843153d0870";"9a197ce34c820e84";"95513";"Thu Jul 16 01:22:57 2020";"";""
"Waschwelt Süd GmbH u. Co. KG Burgau";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 SÜDRAMOL GmbH & Co. KG (Burgau)";"12.03.2018";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"e9527b4c9731fd7a";"95513";"Thu Jul 16 01:22:57 2020"
"SÜDRAMOL GmbH & Co. KG Burgau";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.03.2018";"0e6ad8a5ee8151adc1fb7843153d0870";"e9527b4c9731fd7a";"95513";"Thu Jul 16 01:22:57 2020";"";""
"Waschwelt Süd GmbH u. Co. KG Burgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"01.12.2016";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"b2d190b474a63c12";"95513";"Thu Jul 16 01:22:57 2020"
"Waschwelt Süd GmbH u. Co. KG Burgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"19.01.2016";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"da2e8c083af07870";"95513";"Thu Jul 16 01:22:57 2020"
"Waschwelt Süd GmbH u. Co. KG Burgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"21.01.2015";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"763b8efc8ef3a219";"95513";"Thu Jul 16 01:22:57 2020"
"SÜDRAMOL GmbH & Co. KG Burgau";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.01.2020";"70%";"0e6ad8a5ee8151adc1fb7843153d0870";"73bc5e4fbfdd837b";"95513";"Thu Jul 16 01:22:57 2020"
"pizzabob GmbH & Co. KG, Burgau; Teigfabrik Edenhausen GmbH & Co. KG, Krumbach; TWG GmbH & Co. KG, Burgau; Waschwelt Süd GmbH u. Co. KG, Burgau";"Thu Jul 16 01:22:57 2020";"";"";"";"";"";"";""
"SÜDRAMOL GmbH & Co. KG Burgau";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.01.2019";"70%";"0e6ad8a5ee8151adc1fb7843153d0870";"e6015e58319a38c2";"95513";"Thu Jul 16 01:22:57 2020"
"pizzabob GmbH & Co. KG, Burgau; Teigfabrik Edenhausen GmbH & Co. KG, Krumbach; TWG GmbH & Co. KG, Burgau; Waschwelt Süd GmbH u. Co. KG, Burgau";"Thu Jul 16 01:22:57 2020";"";"";"";"";"";"";""
"SÜDRAMOL GmbH & Co. KG Burgau";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.03.2018";"65%";"0e6ad8a5ee8151adc1fb7843153d0870";"9f638eccc18cb458";"95513";"Thu Jul 16 01:22:57 2020"
"pizzabob GmbH & Co. KG, Burgau; Teigfabrik Edenhausen GmbH & Co. KG, Krumbach; TWG GmbH & Co. KG, Burgau; Waschwelt Süd GmbH u. Co. KG, Burgau";"Thu Jul 16 01:22:57 2020";"";"";"";"";"";"";""
