"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Weidat GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 26.03.2018";"15.07.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"e1603af399dccbf3";"87859";"Wed Jul 15 16:48:12 2020"
"Weidat GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 25.03.2018";"14.07.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"6a65b44029d7ffdc";"87859";"Wed Jul 15 16:48:12 2020"
"Weidat GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.12.2016";"92%";"c1affca00be00815e8f7ff00abde0b30";"069bd524f15781be";"87859";"Wed Jul 15 16:48:12 2020"
"Weidat GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.12.2015";"92%";"c1affca00be00815e8f7ff00abde0b30";"2d0380a1b426e7ed";"87859";"Wed Jul 15 16:48:12 2020"
"Weidat GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"21.11.2014";"92%";"c1affca00be00815e8f7ff00abde0b30";"f2887759c2791c9b";"87859";"Wed Jul 15 16:48:12 2020"
"Weidat GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"16.12.2013";"92%";"c1affca00be00815e8f7ff00abde0b30";"df90698abc4ac7ee";"87859";"Wed Jul 15 16:48:12 2020"
"Weidat GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"08.01.2013";"92%";"c1affca00be00815e8f7ff00abde0b30";"bcc5ce1bd3addc59";"87859";"Wed Jul 15 16:48:12 2020"
"Weidat GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.01.2012";"92%";"c1affca00be00815e8f7ff00abde0b30";"3f43cc95f2c2eea5";"87859";"Wed Jul 15 16:48:12 2020"
"Weidat GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.12.2010";"92%";"c1affca00be00815e8f7ff00abde0b30";"ef16d4df7d49b523";"87859";"Wed Jul 15 16:48:12 2020"
"Weidat GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2008 bis zum 31.12.2008";"01.02.2010";"92%";"c1affca00be00815e8f7ff00abde0b30";"cd9bfe5482fab1a3";"87859";"Wed Jul 15 16:48:12 2020"
