"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Weikamp GmbH Bocholt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.01.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"d1bb6ebadbe0dfb3";"42786";"Wed Jul 15 18:18:49 2020"
"""hairshopping"" Weikamp GmbH Rhede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.09.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"dc6702096a73e415";"42786";"Wed Jul 15 18:18:49 2020"
"""hairshopping"" Weikamp GmbH Rhede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.01.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"2dad655f92c08ae8";"42786";"Wed Jul 15 18:18:49 2020"
"Weikamp GmbH Bocholt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.01.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"96a959b92fd084f1";"42786";"Wed Jul 15 18:18:49 2020"
"Weikamp Gartenbau GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 21.12.2016";"22.06.2018";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"6e3c5cbcc112d0ca";"42786";"Wed Jul 15 18:18:49 2020"
"Weikamp Gartenbau GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 20.12.2016";"19.06.2018";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"6b3ded312b624340";"42786";"Wed Jul 15 18:18:49 2020"
"Weikamp Gartenbau GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 21.12.2016 bis zum 31.12.2016";"19.06.2018";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"81a475c509aa7cf1";"42786";"Wed Jul 15 18:18:49 2020"
"Weikamp GmbH Bocholt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.12.2017";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"24f41d012cd0f14a";"42786";"Wed Jul 15 18:18:49 2020"
"""hairshopping"" Weikamp GmbH Rhede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.09.2017";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"5b1936f23395c870";"42786";"Wed Jul 15 18:18:49 2020"
"Weikamp Gartenbau GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.03.2017";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"7c81bc87629b9e7a";"42786";"Wed Jul 15 18:18:49 2020"
"Weikamp GmbH Bocholt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"22.12.2016";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"967da0462c1fa3d7";"42786";"Wed Jul 15 18:18:49 2020"
"""hairshopping"" Weikamp GmbH Rhede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.08.2016";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"cfa8b53dfdbfd90c";"42786";"Wed Jul 15 18:18:49 2020"
"Weikamp Gartenbau GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"31.05.2016";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"3fa452f150b51178";"42786";"Wed Jul 15 18:18:49 2020"
"Weikamp GmbH Bocholt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.01.2016";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"11a66c851426f06a";"42786";"Wed Jul 15 18:18:49 2020"
"""hairshopping"" Weikamp GmbH Rhede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"17.12.2015";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"ed6a7fd3ea291a51";"42786";"Wed Jul 15 18:18:49 2020"
"Weikamp Gartenbau GmbH Bochum";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"13.05.2015";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"00222ef2c81c39d4";"42786";"Wed Jul 15 18:18:49 2020"
"Weikamp GmbH Bocholt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"29.12.2014";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"16c1c0a6fb166813";"42786";"Wed Jul 15 18:18:49 2020"
