"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ZNT Zentren für neue Technologien GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"10.06.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"db372f5c27bc3fd6";"34330";"Wed Jul 15 04:36:04 2020"
"ZNT Zentren für neue Technologien GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.08.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"442a883c90f4ee58";"34330";"Wed Jul 15 04:36:04 2020"
"ZNT Zentren für neue Technologien GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"30.08.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"418b68b1d34ef223";"34330";"Wed Jul 15 04:36:04 2020"
"ZNT Zentren für neue Technologien GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"29.08.2017";"98%";"c1affca00be00815e8f7ff00abde0b30";"2f1366f6cfb21989";"34330";"Wed Jul 15 04:36:04 2020"
"ZNT Zentren für neue Technologien GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.12.2016";"98%";"c1affca00be00815e8f7ff00abde0b30";"b16751b658c486f0";"34330";"Wed Jul 15 04:36:04 2020"
"ZNT Zentren für neue Technologien GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.12.2015";"98%";"c1affca00be00815e8f7ff00abde0b30";"dacf164e3a0b424c";"34330";"Wed Jul 15 04:36:04 2020"
"ZNT Zentren für neue Technologien GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.12.2014";"98%";"c1affca00be00815e8f7ff00abde0b30";"fe0a334068923f43";"34330";"Wed Jul 15 04:36:04 2020"
"ZNT Zentren für neue Technologien GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"15.11.2013";"98%";"c1affca00be00815e8f7ff00abde0b30";"31c48ae55164bc33";"34330";"Wed Jul 15 04:36:04 2020"
"ZNT Zentren für neue Technologien GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"13.12.2012";"98%";"c1affca00be00815e8f7ff00abde0b30";"05687382b3625c20";"34330";"Wed Jul 15 04:36:04 2020"
"ZNT Zentren für neue Technologien GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.12.2011";"98%";"c1affca00be00815e8f7ff00abde0b30";"04b22ace65d2d96f";"34330";"Wed Jul 15 04:36:04 2020"
"ZNT Zentren für neue Technologien GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"31.12.2010";"98%";"c1affca00be00815e8f7ff00abde0b30";"f056e142e5b876c5";"34330";"Wed Jul 15 04:36:04 2020"
"LBS-Beteiligungsgesellschaft mbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"11.10.2018";"33%";"c1affca00be00815e8f7ff00abde0b30";"e623684bb64cd8ad";"34330";"Wed Jul 15 04:36:04 2020"
"GK Software SE Schöneck/Vogtl.";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"28.05.2019";"5%";"c1affca00be00815e8f7ff00abde0b30";"b9fc078fd377c52c";"34330";"Wed Jul 15 04:36:04 2020"
"DEUTSCHE BANK AKTIENGESELLSCHAFT Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzern - Quartalsfinanzbericht 31. März 2016";"18.05.2016";"3%";"c1affca00be00815e8f7ff00abde0b30";"56bbe179bd45378b";"34330";"Wed Jul 15 04:36:04 2020"
"MagForce AG Berlin";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2013";"30.01.2014";"3%";"c1affca00be00815e8f7ff00abde0b30";"ed4925cff0acd462";"34330";"Wed Jul 15 04:36:04 2020"
"MorphoSys AG Martinsried";"Rechnungslegung/ Finanzberichte";"» 2. ZWISCHENBERICHT JANUAR – JUNI 2010";"27.10.2010";"3%";"c1affca00be00815e8f7ff00abde0b30";"24c68b6bc54f85be";"34330";"Wed Jul 15 04:36:04 2020"
"MediGene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht";"27.07.2010";"3%";"c1affca00be00815e8f7ff00abde0b30";"b272ebd3056397ca";"34330";"Wed Jul 15 04:36:04 2020"
"MediGene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht";"06.01.2010";"3%";"c1affca00be00815e8f7ff00abde0b30";"0da35e59bf8c006e";"34330";"Wed Jul 15 04:36:04 2020"
"MorphoSys AG Martinsried";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"18.08.2009";"3%";"c1affca00be00815e8f7ff00abde0b30";"0bb8bbc92170d6a9";"34330";"Wed Jul 15 04:36:04 2020"
"MediGene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. März 2009";"24.06.2009";"3%";"c1affca00be00815e8f7ff00abde0b30";"a8fc7bf0570b3e7e";"34330";"Wed Jul 15 04:36:04 2020"
