"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Zerzog GmbH Ottobrunn";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzung der Veröffentlichung vom 07.03.2019";"05.03.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"92cfa570317823c1";"84435";"Tue Jul 14 23:35:08 2020"
"Zerzog GmbH & Co. KG Dämmtechnik, Ottobrunn; Zerzog GmbH & Co. KG Kunststofftechnik Recycling, Ottobrunn; Zerzog GmbH & Co. KG Verpackungen, Ottobrunn";"Tue Jul 14 23:35:08 2020";"";"";"";"";"";"";""
"Zerzog GmbH Ottobrunn";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzung der Veröffentlichung vom 18.02.2020";"05.03.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"5a2a999c1a85a40e";"84435";"Tue Jul 14 23:35:08 2020"
"Zerzog GmbH & Co. KG Dämmtechnik, Ottobrunn; Zerzog GmbH & Co. KG Kunststofftechnik Recycling, Ottobrunn; Zerzog GmbH & Co. KG Verpackungen, Ottobrunn";"Tue Jul 14 23:35:08 2020";"";"";"";"";"";"";""
"Zerzog GmbH Ottobrunn";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzt am 05.03.2020";"18.02.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"ac09f1f41bc42862";"84435";"Tue Jul 14 23:35:08 2020"
"Zerzog GmbH & Co. KG Dämmtechnik, Ottobrunn; Zerzog GmbH & Co. KG Kunststofftechnik Recycling, Ottobrunn; Zerzog GmbH & Co. KG Verpackungen, Ottobrunn";"Tue Jul 14 23:35:08 2020";"";"";"";"";"";"";""
"Zerzog GmbH & Co. KG Kunststofftechnik Recycling Ottobrunn";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Zerzog GmbH (Ottobrunn)";"05.02.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"38a296203e95b308";"84435";"Tue Jul 14 23:35:08 2020"
"Zerzog GmbH Ottobrunn";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzung der Veröffentlichung vom 18.02.2020";"05.03.2020";"9f0e12c7f320e17bd3028846fa49a6eb";"38a296203e95b308";"84435";"Tue Jul 14 23:35:08 2020";"";""
"Zerzog GmbH Ottobrunn";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzt am 05.03.2020";"18.02.2020";"9f0e12c7f320e17bd3028846fa49a6eb";"38a296203e95b308";"84435";"Tue Jul 14 23:35:08 2020";"";""
"Zerzog GmbH & Co. KG Dämmtechnik Ottobrunn";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Zerzog GmbH (Ottobrunn)";"05.02.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"1c1ce9ed47f15eaf";"84435";"Tue Jul 14 23:35:08 2020"
