"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Ziffer Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"27.12.2012";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"58c291eebfc2b819";"88725";"Wed Jul 15 21:38:58 2020"
"Ziffer Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"21.02.2012";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"f678ba9ca51ead34";"88725";"Wed Jul 15 21:38:58 2020"
"Ziffer Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"19.01.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"cdf7b6e226c2eec2";"88725";"Wed Jul 15 21:38:58 2020"
"Ziffer Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"12.02.2010";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"b9f72cce621a14cb";"88725";"Wed Jul 15 21:38:58 2020"
"Ziffer Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"09.02.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"9cab884b02c9af9e";"88725";"Wed Jul 15 21:38:58 2020"
"Ziffer Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"03.04.2008";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"1c71620a5e20d8cf";"88725";"Wed Jul 15 21:38:58 2020"
"LVM Landwirtschaftlicher Versicherungsverein Münster a. G. Münster";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"01.07.2020";"10%";"aba51bcc9fdd59516710d900a8a5ca24";"48cac39e16aec4f7";"88725";"Wed Jul 15 21:38:58 2020"
"Sireo Immobilienfonds No. 5 SICAV-FIS Luxembourg";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum 30. Juni 2018";"28.06.2019";"10%";"aba51bcc9fdd59516710d900a8a5ca24";"288194e7a5d15d8f";"88725";"Wed Jul 15 21:38:58 2020"
"LVM Landwirtschaftlicher Versicherungsverein Münster a. G. Münster";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"26.06.2019";"10%";"aba51bcc9fdd59516710d900a8a5ca24";"86640f8f7777a502";"88725";"Wed Jul 15 21:38:58 2020"
"MVV  Energie AG Mannheim";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 30.09.2013";"16.09.2013";"5%";"aba51bcc9fdd59516710d900a8a5ca24";"6d5fe90a8103f04c";"88725";"Wed Jul 15 21:38:58 2020"
"MISTRAL Media AG Köln";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum zum 30. Juni 2011";"11.04.2012";"5%";"aba51bcc9fdd59516710d900a8a5ca24";"34bd947872c494cb";"88725";"Wed Jul 15 21:38:58 2020"
