"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"adato GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Capita Customer Services (Germany) GmbH (Berlin)";"13.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"83eafd0b320708d8";"88111";"Thu Jul 16 07:25:52 2020"
"ADATO Holding GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"bc165dd399db9cde";"88111";"Thu Jul 16 07:25:52 2020"
"ADATO Holding GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"03.12.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"45ae9a85abf8fecc";"88111";"Thu Jul 16 07:25:52 2020"
"ADATO Holding GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"15.11.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"600b72c5b390ddc1";"88111";"Thu Jul 16 07:25:52 2020"
"adato GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Capita Customer Services (Germany) GmbH (Berlin)";"19.02.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"988b734a2fac48ea";"88111";"Thu Jul 16 07:25:52 2020"
"Capita Customer Services (Germany) GmbH Berlin";"» Befreiender Konzernabschluss gem. § 291 HGB zum Geschäftsjahr vom 01.01.2018 bis zum
                                          31.12.2018";"22.04.2020";"aba51bcc9fdd59516710d900a8a5ca24";"988b734a2fac48ea";"88111";"Thu Jul 16 07:25:52 2020";"";""
"adato GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.02.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"4a43cbd725a625ea";"88111";"Thu Jul 16 07:25:52 2020"
"adato GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.11.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"6e10f9be341dcf75";"88111";"Thu Jul 16 07:25:52 2020"
"ADATO Consulting Group GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"20.01.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"f799e9941d32c13c";"88111";"Thu Jul 16 07:25:52 2020"
"adato GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Berichtigung der Veröffentlichung vom 06.12.2016";"06.01.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"5795f5eda5d5390e";"88111";"Thu Jul 16 07:25:52 2020"
"adato GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Berichtigt am 06.01.2017";"06.12.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"e048137ef67bcbd7";"88111";"Thu Jul 16 07:25:52 2020"
"ADATO Consulting Group GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"10.12.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"15c73da2e82942cb";"88111";"Thu Jul 16 07:25:52 2020"
"adato GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 avocis Group GmbH & Co. KG (Berlin)";"10.02.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"33a433f9df589ddb";"88111";"Thu Jul 16 07:25:52 2020"
"GEOS Germany GmbH (vormals: ADATO International GmbH) Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"28.10.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"6f75b0151ca49a53";"88111";"Thu Jul 16 07:25:52 2020"
"ADATO Consulting Group GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.08.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"c52b6772ba331c72";"88111";"Thu Jul 16 07:25:52 2020"
"adato GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 avocis Group GmbH & Co. KG (Berlin)";"16.01.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"45a5ef57a21c40a4";"88111";"Thu Jul 16 07:25:52 2020"
"ADATO Consulting Group GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"09.01.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"461c32a545d5f707";"88111";"Thu Jul 16 07:25:52 2020"
"GEOS Germany GmbH (vormals: ADATO International GmbH) Bonn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"25.11.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"e4412504df3c65c5";"88111";"Thu Jul 16 07:25:52 2020"
"ADATO Holding GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.01.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"b5189fbf7f641096";"88111";"Thu Jul 16 07:25:52 2020"
"ADATO Consulting Group GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"09.01.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"9bfaaac83f8c9b24";"88111";"Thu Jul 16 07:25:52 2020"
"adato GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012 avocis Group GmbH & Co. KG (Berlin)";"20.11.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"1668489b442e15af";"88111";"Thu Jul 16 07:25:52 2020"
