"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"03.04.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"755a2146b58f566d";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2017 bis zum 31.03.2018";"07.03.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"de5334c4617f6561";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.03.2017";"08.03.2018";"95%";"c1affca00be00815e8f7ff00abde0b30";"c3c452b8e6de4649";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Ergänzung der Veröffentlichung vom 01.12.2016";"08.01.2018";"95%";"c1affca00be00815e8f7ff00abde0b30";"2f2b77b79542bae7";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.12.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"4192c815be12e467";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 Ergänzt am 08.01.2018";"01.12.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"5077c49d35850b22";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Ergänzung der Veröffentlichung vom 01.07.2015";"15.07.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"77e7a7d0598e4a18";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 Ergänzt am 15.07.2015";"01.07.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"cfcb2763aafc1524";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.02.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"ac3fcf8f30a8b3e4";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"18.10.2013";"95%";"c1affca00be00815e8f7ff00abde0b30";"910c1a86487c8809";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.01.2013";"95%";"c1affca00be00815e8f7ff00abde0b30";"af61aa578a874f37";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"05.12.2011";"95%";"c1affca00be00815e8f7ff00abde0b30";"3b1573bde66ea051";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"16.09.2010";"95%";"c1affca00be00815e8f7ff00abde0b30";"d450105232390657";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"26.10.2009";"95%";"c1affca00be00815e8f7ff00abde0b30";"d3af9433b1b626e4";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"30.07.2008";"95%";"c1affca00be00815e8f7ff00abde0b30";"3d70af1a69f5b36f";"00908";"Wed Jul 15 15:17:17 2020"
"baramundi software AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"13.02.2008";"95%";"c1affca00be00815e8f7ff00abde0b30";"a7b736c53d3f8f14";"00908";"Wed Jul 15 15:17:17 2020"
