"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"bb-net media gmbh Schweinfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.07.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"842be8d88985ac44";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media gmbh Schweinfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"19.04.2018";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"be5930d49a0b6f95";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media gmbh Schweinfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"25.04.2017";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"3674c036026dbe5d";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media gmbh Schweinfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.05.2016";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"db8ee7fef606d26c";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media gmbh Schweinfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"13.04.2015";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"d819be649d44ea44";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media gmbh Schweinfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"21.03.2014";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"acb0b28eafdab508";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media gmbh Schweinfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.08.2013";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"e5d294e5490f7ac4";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media gmbh Schweinfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"17.09.2012";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"8a103a8d742dd871";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media gmbh Schweinfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.12.2011";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"78f2c08bf6ed7103";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media gmbh Schweinfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"22.12.2010";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"4163e21b60c63282";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media gmbh Schweinfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"07.01.2010";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"4796190e7b4559ff";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media GmbH Schwebheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"23.01.2009";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"2b8f9d667e8985f4";"69544";"Thu Jul 16 05:34:35 2020"
"bb-net media GmbH Schwebheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"23.01.2008";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"d04c777db8fe3731";"69544";"Thu Jul 16 05:34:35 2020"
"Franz Haniel & Cie. GmbH Duisburg-Ruhrort";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht 2017 zum 30. Juni 2017";"04.09.2017";"37%";"aba51bcc9fdd59516710d900a8a5ca24";"797d78648fa31830";"69544";"Thu Jul 16 05:34:35 2020"
"Franz Haniel & Cie. GmbH Duisburg-Ruhrort";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2016";"13.09.2016";"37%";"aba51bcc9fdd59516710d900a8a5ca24";"d1ae39ecff05aa1f";"69544";"Thu Jul 16 05:34:35 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. August 2017";"08.11.2017";"4%";"aba51bcc9fdd59516710d900a8a5ca24";"d39779170ad3f356";"69544";"Thu Jul 16 05:34:35 2020"
"Kölnische Rückversicherungs-Gesellschaft AG Köln";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht zum 30. Juni 2008";"22.08.2008";"4%";"aba51bcc9fdd59516710d900a8a5ca24";"fca0989eafe641d6";"69544";"Thu Jul 16 05:34:35 2020"
