"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"bevuta IT GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"14.04.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"8341cc871d05dde6";"71940";"Wed Jul 15 16:25:02 2020"
"bevuta IT GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.04.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"119db0b8db63421a";"71940";"Wed Jul 15 16:25:02 2020"
"bevuta IT GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.04.2018";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"5a708af5ba8daecb";"71940";"Wed Jul 15 16:25:02 2020"
"bevuta IT GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.05.2017";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"c2de8497b73522e5";"71940";"Wed Jul 15 16:25:02 2020"
"bevuta IT GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.04.2016";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"9cefc918711cfc78";"71940";"Wed Jul 15 16:25:02 2020"
"bevuta IT GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"28.04.2015";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"ebf4ddd7306a4b32";"71940";"Wed Jul 15 16:25:02 2020"
"bevuta IT GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.01.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"f1e1afdbf7826241";"71940";"Wed Jul 15 16:25:02 2020"
"bevuta IT GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.01.2012";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"755a1150e407cd6a";"71940";"Wed Jul 15 16:25:02 2020"
"bevuta IT GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"11.01.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"a2509dae2ce9e0a5";"71940";"Wed Jul 15 16:25:02 2020"
"bevuta IT GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 19.02.2008 bis zum 31.12.2008";"18.01.2010";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"edcd8888743fb313";"71940";"Wed Jul 15 16:25:02 2020"
