"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"btr Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.12.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"ab5644a9c36fbe89";"09596";"Mon Jul 13 22:25:18 2020"
"btr Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"09.10.2018";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"d1fe9abc2fd9406c";"09596";"Mon Jul 13 22:25:18 2020"
"btr Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"15.08.2017";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"c22be388d1c2b915";"09596";"Mon Jul 13 22:25:18 2020"
"btr Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"31.05.2016";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"2b37144ad1985efa";"09596";"Mon Jul 13 22:25:18 2020"
"btr Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"06.05.2015";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"2499546507369192";"09596";"Mon Jul 13 22:25:18 2020"
"btr Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"07.07.2014";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"e296c5467dfbc5b7";"09596";"Mon Jul 13 22:25:18 2020"
"btr Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"16.01.2014";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"e21aacb50beea45e";"09596";"Mon Jul 13 22:25:18 2020"
"btr Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.08.2012";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"66ed5bb7e0254af7";"09596";"Mon Jul 13 22:25:18 2020"
"btr Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"05.12.2011";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"7b430644f0a23561";"09596";"Mon Jul 13 22:25:18 2020"
"btr Consulting GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"02.02.2011";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"e0724ca99ced0c59";"09596";"Mon Jul 13 22:25:18 2020"
