"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"4489e9858136dca1";"61376";"Tue Jul 14 18:11:15 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"2578e3a9678c424a";"61376";"Tue Jul 14 18:11:15 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"29.12.2017";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"2d90fe66b8e71849";"61376";"Tue Jul 14 18:11:15 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum  30. Juni 2016";"26.09.2016";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"ca27004e93a40df8";"61376";"Tue Jul 14 18:11:15 2020"
"KHD Humboldt Wedag International AG Köln";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2016";"13.09.2016";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"2fcd16bb1e5867b1";"61376";"Tue Jul 14 18:11:15 2020"
"China Construction Bank Corporation Niederlassung Frankfurt Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"07.01.2016";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"dcbd9488b2b97a9f";"61376";"Tue Jul 14 18:11:15 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"1bb7c16c48921e5f";"61376";"Tue Jul 14 18:11:15 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2014";"08.09.2014";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"fd9deeb7269ffb69";"61376";"Tue Jul 14 18:11:15 2020"
"Landwirtschaftliche Rentenbank Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2013";"16.09.2013";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"9a9528c1ef80b61b";"61376";"Tue Jul 14 18:11:15 2020"
"Landwirtschaftliche Rentenbank Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2012";"31.08.2012";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"9ad24a917b6a8a4b";"61376";"Tue Jul 14 18:11:15 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011 Berichtigung der Veröffentlichung vom 23.09.2011";"18.10.2011";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"5d5a8a1c1a428f56";"61376";"Tue Jul 14 18:11:15 2020"
"Landwirtschaftliche Rentenbank Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011";"05.09.2011";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"3938365438591e05";"61376";"Tue Jul 14 18:11:15 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2010";"26.11.2010";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"99b9f0b37c22ec60";"61376";"Tue Jul 14 18:11:15 2020"
"GAGFAH S.A. Luxembourg";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht 30.09.2008";"07.04.2009";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"158ecf4ad728f456";"61376";"Tue Jul 14 18:11:15 2020"
"313music JWP AG Unterföhring";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht 30.09.2008";"03.03.2009";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"b20cc4f41ac8cda3";"61376";"Tue Jul 14 18:11:15 2020"
"313music JWP AG Unterföhring";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2008";"25.11.2008";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"eb32d4cf1010446e";"61376";"Tue Jul 14 18:11:15 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» 9 Months Report 2007/2008";"22.08.2008";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"3624aaac30926c35";"61376";"Tue Jul 14 18:11:15 2020"
"UBS AG Zürich Basel Schweiz";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht";"15.07.2008";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"16afa0685df87d6f";"61376";"Tue Jul 14 18:11:15 2020"
"313music JWP AG Berlin";"Rechnungslegung/ Finanzberichte";"» Interim Report 9M 2007";"22.04.2008";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"0c1a7c47553d47cd";"61376";"Tue Jul 14 18:11:15 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» 3 Monatsbericht 2007/2008";"04.02.2008";"50%";"9f0e12c7f320e17bd3028846fa49a6eb";"d96637faba989688";"61376";"Tue Jul 14 18:11:15 2020"
