"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"City Parfümerie Rathjen GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2018 bis zum 31.03.2019";"19.12.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"7da204778bb06cf7";"50637";"Wed Jul 15 16:20:31 2020"
"City Parfümerie Rathjen GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2017 bis zum 31.03.2018";"10.01.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"67f854882f60d67c";"50637";"Wed Jul 15 16:20:31 2020"
"City Parfümerie Rathjen GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2016 bis zum 31.03.2017";"16.03.2018";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"155c256c42c28d74";"50637";"Wed Jul 15 16:20:31 2020"
"City Parfümerie Rathjen GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2015 bis zum 31.03.2016";"28.11.2016";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"c27ad83dc310f527";"50637";"Wed Jul 15 16:20:31 2020"
"contenta Full Service Logistics GmbH (vormals: City-Parfümerien Online Parfümeriehaus
                                       GmbH) Hockenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"24.03.2016";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"8201ef949d0b4c5f";"50637";"Wed Jul 15 16:20:31 2020"
"City Parfümerie Rathjen GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2014 bis zum 31.03.2015";"23.03.2016";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"c7a1b93608c3edb9";"50637";"Wed Jul 15 16:20:31 2020"
"City Parfümerie Rathjen GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2013 bis zum 31.03.2014";"04.02.2015";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"20ed453825199ddd";"50637";"Wed Jul 15 16:20:31 2020"
"City-Parfümerien Online Parfümeriehaus GmbH Hockenheim (vormals: Sandhausen)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.11.2014";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"64c14cdf599c7bac";"50637";"Wed Jul 15 16:20:31 2020"
"City Parfümerie Rathjen GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2012 bis zum 31.03.2013";"10.06.2014";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"df625302700fb8c4";"50637";"Wed Jul 15 16:20:31 2020"
"City-Parfümerien Online Parfümeriehaus GmbH Hockenheim (vormals: Sandhausen)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"25.11.2013";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"3ff3377296b7beee";"50637";"Wed Jul 15 16:20:31 2020"
