"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.01.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"b7e4d94ed45b9a0e";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.01.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"9789e85a2ce52ffd";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"10.01.2018";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"b31da7ff83bc1487";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"24.01.2017";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"bcdd9ff90f397aa8";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"07.01.2016";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"1d8554c4d90be058";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"12.12.2014";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"bb074a9662354efe";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"23.01.2014";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"22fc0fe2c8c41778";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.01.2013";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"62ca16fb803105b1";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"07.12.2011";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"ec71214cdc6bbc37";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"23.12.2010";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"1e7e5ca5f382cb20";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"14.12.2009";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"6efa16e6b0c59331";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007 Berichtigung der Veröffentlichung vom 16.01.2009";"04.05.2009";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"567229bc0660a1b0";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007 Berichtigt am 04.05.2009";"16.01.2009";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"61272a32a3801240";"74410";"Tue Jul 14 00:40:35 2020"
"cometis AG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"18.01.2008";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"14eb812f99838423";"74410";"Tue Jul 14 00:40:35 2020"
