"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"d-kn GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.11.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"90207980f5bee1a3";"73129";"Tue Jul 14 23:28:22 2020"
"d-kn GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.10.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"37e4fb092043a6f9";"73129";"Tue Jul 14 23:28:22 2020"
"d-kn GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.02.2018";"95%";"c1affca00be00815e8f7ff00abde0b30";"268451d9ac3bf624";"73129";"Tue Jul 14 23:28:22 2020"
"d-kn GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"15.11.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"de5ee4c9968419a6";"73129";"Tue Jul 14 23:28:22 2020"
"d-kn GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"07.10.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"c9766790d9f6e540";"73129";"Tue Jul 14 23:28:22 2020"
"d-kn GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"19.01.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"fc6c8be03cd560aa";"73129";"Tue Jul 14 23:28:22 2020"
"d-kn GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.01.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"7ee88ee6cf399dfc";"73129";"Tue Jul 14 23:28:22 2020"
"d-kn GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"08.01.2013";"95%";"c1affca00be00815e8f7ff00abde0b30";"20d62f166312ad6b";"73129";"Tue Jul 14 23:28:22 2020"
"d-kn GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"08.02.2012";"95%";"c1affca00be00815e8f7ff00abde0b30";"25d7677bbe34b1bc";"73129";"Tue Jul 14 23:28:22 2020"
"d-kn GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.03.2011";"95%";"c1affca00be00815e8f7ff00abde0b30";"49c418b8604b75df";"73129";"Tue Jul 14 23:28:22 2020"
"d-kn GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"14.05.2010";"95%";"c1affca00be00815e8f7ff00abde0b30";"ee0e93ad10696134";"73129";"Tue Jul 14 23:28:22 2020"
