"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"d.i.i. Deutsche Invest Immobilien 7. Wohnen GmbH Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.04.2020";"94%";"9f0e12c7f320e17bd3028846fa49a6eb";"ede808df45ef51ff";"40569";"Tue Jul 14 20:46:53 2020"
"d.i.i. Deutsche Invest Immobilien 4. Wohnen B GmbH Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.02.2020";"94%";"9f0e12c7f320e17bd3028846fa49a6eb";"d9b1386a410366c1";"40569";"Tue Jul 14 20:46:53 2020"
"d.i.i. Deutsche Invest Immobilien 2. Wohnen GmbH Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.02.2020";"94%";"9f0e12c7f320e17bd3028846fa49a6eb";"0fcbee1e5a39bdd5";"40569";"Tue Jul 14 20:46:53 2020"
"d.i.i. Deutsche Invest Immobilien 1. Objekt A GmbH Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.02.2020";"94%";"9f0e12c7f320e17bd3028846fa49a6eb";"1ce7286eaae395a7";"40569";"Tue Jul 14 20:46:53 2020"
"d.i.i. Deutsche Invest Immobilien 3. Wohnen B GmbH Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.02.2020";"94%";"9f0e12c7f320e17bd3028846fa49a6eb";"4f667dde3aef4bb2";"40569";"Tue Jul 14 20:46:53 2020"
"d.i.i. Deutsche Invest Immobilien 3. Wohnen GmbH Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.01.2020";"94%";"9f0e12c7f320e17bd3028846fa49a6eb";"f525a4e12568caea";"40569";"Tue Jul 14 20:46:53 2020"
"d.i.i. Deutsche Invest Immobilien 4. Bestand A GmbH Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.01.2020";"94%";"9f0e12c7f320e17bd3028846fa49a6eb";"f50a4afa2db304cb";"40569";"Tue Jul 14 20:46:53 2020"
"d.i.i. Deutsche Invest Immobilien 2. GmbH & Co. KG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 01.01.2019";"09.01.2020";"94%";"9f0e12c7f320e17bd3028846fa49a6eb";"96afc96f9f5d904e";"40569";"Tue Jul 14 20:46:53 2020"
"d.i.i. Deutsche Invest Immobilien 3. Bestand A GmbH Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 01.01.2019";"03.01.2020";"94%";"9f0e12c7f320e17bd3028846fa49a6eb";"b0309fac80a6500b";"40569";"Tue Jul 14 20:46:53 2020"
"d.i.i. Deutsche Invest Immobilien 3. GmbH & Co. KG Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.12.2019";"94%";"9f0e12c7f320e17bd3028846fa49a6eb";"a3c2310e4e979712";"40569";"Tue Jul 14 20:46:53 2020"
