"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.12.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"31d6abd7dd313e01";"51397";"Thu Jul 16 05:23:37 2020"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"29.01.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"b22c4841cd8c5dd7";"51397";"Thu Jul 16 05:23:37 2020"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.02.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"49ee39b66a2a9854";"51397";"Thu Jul 16 05:23:37 2020"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.02.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"4af05ed1baf1a9d4";"51397";"Thu Jul 16 05:23:37 2020"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.02.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"f6340ceea1630eef";"51397";"Thu Jul 16 05:23:37 2020"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"08.01.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"ca108519a4a49f39";"51397";"Thu Jul 16 05:23:37 2020"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.01.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"7b63e4ea4231b7da";"51397";"Thu Jul 16 05:23:37 2020"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.01.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"f1e9829c1ba3eddb";"51397";"Thu Jul 16 05:23:37 2020"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.03.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"f75f012f7a21ee80";"51397";"Thu Jul 16 05:23:37 2020"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.02.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"85e8fbfdfe4a9e50";"51397";"Thu Jul 16 05:23:37 2020"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"28.04.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"c78a753777b34426";"51397";"Thu Jul 16 05:23:37 2020"
"docuscan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"30.04.2009";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"52e8e9b5317d81ad";"51397";"Thu Jul 16 05:23:37 2020"
"DocuScan GmbH Erftstadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"30.01.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"28f6a2653f23af85";"51397";"Thu Jul 16 05:23:37 2020"
