"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"dp Planzeit GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"17.06.2020";"100%";"0e6ad8a5ee8151adc1fb7843153d0870";"5ee4d236bb378d05";"41419";"Thu Jul 16 01:50:57 2020"
"dp Planzeit GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"03.07.2017";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"ecc34f93e9725ed2";"41419";"Thu Jul 16 01:50:57 2020"
"dp Planzeit GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.05.2016";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"42e2baa16b17d524";"41419";"Thu Jul 16 01:50:57 2020"
"dp Planzeit GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.07.2015";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"6b815fb927091efd";"41419";"Thu Jul 16 01:50:57 2020"
"dp Planzeit GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.12.2014";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"bfca9d58740d97f3";"41419";"Thu Jul 16 01:50:57 2020"
"dp Planzeit GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.06.2013";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"5c9a32cdf49e5cd1";"41419";"Thu Jul 16 01:50:57 2020"
"dp Planzeit GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"09.07.2012";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"a49438a7381086ac";"41419";"Thu Jul 16 01:50:57 2020"
"dp Planzeit GmbH Hannover (vormals: Oldenburg)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.07.2011";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"6dc00415cde9cc49";"41419";"Thu Jul 16 01:50:57 2020"
"dp Planzeit GmbH Hannover (vormals: Oldenburg)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.01.2011";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"c7d79fa666300697";"41419";"Thu Jul 16 01:50:57 2020"
"dp Planzeit GmbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"02.09.2009";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"8aa1c517321c7c1c";"41419";"Thu Jul 16 01:50:57 2020"
"dp Planzeit GmbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"15.04.2009";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"043cd72eaf96028f";"41419";"Thu Jul 16 01:50:57 2020"
"DP-Planzeit GmbH Oldenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"07.04.2008";"95%";"0e6ad8a5ee8151adc1fb7843153d0870";"82a0a81074fb97dd";"41419";"Thu Jul 16 01:50:57 2020"
