"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DQS CFS GmbH Deutsche Gesellschaft für Nachhaltigkeit Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 DQS Holding GmbH (Frankfurt am Main)";"28.11.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"58938b4c936a1ca2";"88972";"Tue Jul 14 13:18:15 2020"
"DQS CFS GmbH Deutsche Gesellschaft für Nachhaltigkeit Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 DQS Holding GmbH (Frankfurt am Main)";"01.03.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"6f421e44dfdc9f54";"88972";"Tue Jul 14 13:18:15 2020"
"DQS Holding GmbH Frankfurt am Main";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"21.11.2019";"9f0e12c7f320e17bd3028846fa49a6eb";"6f421e44dfdc9f54";"88972";"Tue Jul 14 13:18:15 2020";"";""
"DQS CFS GmbH Deutsche Gesellschaft für Nachhaltigkeit Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 DQS Holding GmbH (Frankfurt am Main)";"16.03.2018";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"bd1a36f92edac13a";"88972";"Tue Jul 14 13:18:15 2020"
"DQS Holding GmbH Frankfurt am Main";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.01.2019";"9f0e12c7f320e17bd3028846fa49a6eb";"bd1a36f92edac13a";"88972";"Tue Jul 14 13:18:15 2020";"";""
"DQS CFS GmbH Deutsche Gesellschaft für Nachhaltigkeit (vormals: DQS CFS GmbH) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 DQS Holding GmbH (Frankfurt am Main)";"07.03.2017";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"b20a43fe9e416467";"88972";"Tue Jul 14 13:18:15 2020"
"DQS Holding GmbH Frankfurt am Main";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.02.2018";"9f0e12c7f320e17bd3028846fa49a6eb";"b20a43fe9e416467";"88972";"Tue Jul 14 13:18:15 2020";"";""
"DQS CFS GmbH (vormals:DQS-UL Food Safety Solutions GmbH) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015 DQS Holding GmbH (Frankfurt am Main)";"11.03.2016";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"b0b62579f86438d4";"88972";"Tue Jul 14 13:18:15 2020"
"DQS Holding GmbH Frankfurt am Main";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.03.2017";"9f0e12c7f320e17bd3028846fa49a6eb";"b0b62579f86438d4";"88972";"Tue Jul 14 13:18:15 2020";"";""
"DQS-UL CFS GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014 DQS Holding GmbH (Frankfurt am Main)";"10.03.2015";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"c92b87d29065fb73";"88972";"Tue Jul 14 13:18:15 2020"
"DQS-UL CFS GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013 DQS Holding GmbH (Frankfurt am Main)";"23.07.2014";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"292c8215c0aa9ef6";"88972";"Tue Jul 14 13:18:15 2020"
"DQS Holding GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"21.11.2019";"83%";"9f0e12c7f320e17bd3028846fa49a6eb";"71a5d89cc5a51fcc";"88972";"Tue Jul 14 13:18:15 2020"
"DQS CFS GmbH Deutsche Gesellschaft für Nachhaltigkeit, Frankfurt am Main; DQS GmbH Deutsche Gesellschaft zur Zertifizierung von Managementsystemen, Frankfurt am Main; DQS Medizinprodukte GmbH, Frankfurt am Main";"Tue Jul 14 13:18:15 2020";"";"";"";"";"";"";""
"DQS Holding GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.01.2019";"83%";"9f0e12c7f320e17bd3028846fa49a6eb";"9641d429c1fe9129";"88972";"Tue Jul 14 13:18:15 2020"
"DQS CFS GmbH Deutsche Gesellschaft für Nachhaltigkeit, Frankfurt am Main; DQS GmbH Deutsche Gesellschaft zur Zertifizierung von Managementsystemen, Frankfurt am Main; DQS Medizinprodukte GmbH, Frankfurt am Main";"Tue Jul 14 13:18:15 2020";"";"";"";"";"";"";""
"DQS Holding GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.02.2018";"75%";"9f0e12c7f320e17bd3028846fa49a6eb";"fe6cf3f5338cd094";"88972";"Tue Jul 14 13:18:15 2020"
"DQS CFS GmbH Deutsche Gesellschaft für Nachhaltigkeit, Frankfurt am Main; DQS GmbH Deutsche Gesellschaft zur Zertifizierung von Managementsystemen, Frankfurt am Main; DQS Medizinprodukte GmbH, Frankfurt am Main";"Tue Jul 14 13:18:15 2020";"";"";"";"";"";"";""
