"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.01.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"b974167363e66f6a";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.06.2018";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"b7f522dac70e7aca";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"29.08.2017";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"b661d1717542ca58";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"29.04.2016";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"737f148127fb090d";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"30.11.2015";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"d5554df45137e52a";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.12.2014";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"9fbf32bdf89314f8";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"03.12.2013";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"16ee4aa55c53f91b";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.11.2012";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"73fe3d796bb18fc7";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"08.11.2011";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"210aa7738d50b45d";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"14.12.2010";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"0e4428ef5a4ad61f";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"09.12.2009";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"9d90e05a2d40d1ca";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"19.11.2008";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"f329ced5b012ea00";"07216";"Wed Jul 15 19:42:08 2020"
"EVG elko Veranstaltungs- und Gebäudeservice GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"03.01.2008";"97%";"9f640089e0eb51d0473f169a5e9dfb07";"c1f957dddd8e0e08";"07216";"Wed Jul 15 19:42:08 2020"
