"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"24.04.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"e160aca3f3b9005d";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.11.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"ba3b9f483ec1b4e7";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"30.05.2018";"95%";"c1affca00be00815e8f7ff00abde0b30";"098f667e7a1c6bb2";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.12.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"9ce6d9cdfa5a6a56";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"11.01.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"760938e4ac7a7da7";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"08.01.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"298d50be372cdd42";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.02.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"11029a89355c13ec";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.01.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"2dc5cbceaaadd05a";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"11.01.2013";"95%";"c1affca00be00815e8f7ff00abde0b30";"a89fc98528191c54";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.01.2012";"95%";"c1affca00be00815e8f7ff00abde0b30";"598ca13e46feb0ab";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"04.01.2011";"95%";"c1affca00be00815e8f7ff00abde0b30";"bcbdd0ab45152fe5";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"15.01.2010";"95%";"c1affca00be00815e8f7ff00abde0b30";"354f1585266c0f2d";"82250";"Wed Jul 15 07:30:06 2020"
"ERGON Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"21.01.2009";"95%";"c1affca00be00815e8f7ff00abde0b30";"9ab0895d7aab39d2";"82250";"Wed Jul 15 07:30:06 2020"
"Ergon Datenprojekte GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"31.01.2008";"95%";"c1affca00be00815e8f7ff00abde0b30";"55a6c5caaf1e0e02";"82250";"Wed Jul 15 07:30:06 2020"
