"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Citigroup Global Markets Europe AG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"12.06.2019";"60%";"9f640089e0eb51d0473f169a5e9dfb07";"c878e865565618e9";"79376";"Wed Jul 15 20:45:16 2020"
"Citigroup Global Markets Finance Corporation & Co. beschränkt haftende KG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"28.12.2018";"60%";"9f640089e0eb51d0473f169a5e9dfb07";"f082218c6032410f";"79376";"Wed Jul 15 20:45:16 2020"
"Citigroup Global Markets Finance Corporation & Co. beschränkt haftende KG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht gemäß der EU-Verordnung Nr. 575/2013 (CRR) zum 31. Dezember 2016";"29.01.2018";"55%";"9f640089e0eb51d0473f169a5e9dfb07";"bc96ce4e2cd6ba0a";"79376";"Wed Jul 15 20:45:16 2020"
"Citigroup Global Markets Finance Corporation & Co. beschränkt haftende KG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht gemäß der EU-Verordnung Nr. 575/2013 (CRR) zum 30. November 2016";"22.12.2017";"55%";"9f640089e0eb51d0473f169a5e9dfb07";"9653d02c8fa5066f";"79376";"Wed Jul 15 20:45:16 2020"
"Citibank,  N.A. in New York,  Filiale Frankfurt/Main Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht gemäß der EU-Verordnung Nr. 575/2013 (CRR) zum 31. Dezember 2018";"13.08.2019";"50%";"9f640089e0eb51d0473f169a5e9dfb07";"fe4023780c96313a";"79376";"Wed Jul 15 20:45:16 2020"
"Citibank,  N.A. in New York,  Filiale Frankfurt/Main Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht gemäß der EU-Verordnung Nr. 575/2013 (CRR) zum 31. Dezember 2017";"11.07.2018";"45%";"9f640089e0eb51d0473f169a5e9dfb07";"665363c8a970f8d9";"79376";"Wed Jul 15 20:45:16 2020"
"Citibank,  N.A. in New York,  Filiale Frankfurt/Main Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht nach CRR zum 31.12.2016";"15.12.2017";"45%";"9f640089e0eb51d0473f169a5e9dfb07";"01aa2687f36ac430";"79376";"Wed Jul 15 20:45:16 2020"
"Citibank,  N.A. in New York,  Filiale Frankfurt/Main Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht gemäß der EU-Verordnung Nr. 575/2013 (CRR) zum 31. Dezember 2015";"17.10.2016";"45%";"9f640089e0eb51d0473f169a5e9dfb07";"1ea7df0ec3f08bd8";"79376";"Wed Jul 15 20:45:16 2020"
"China Construction Bank Corporation Niederlassung Frankfurt Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"07.01.2016";"45%";"9f640089e0eb51d0473f169a5e9dfb07";"f8fcb91b857c2c36";"79376";"Wed Jul 15 20:45:16 2020"
"SMBC Bank EU AG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Offenlegungsbericht nach CRR per 31. März 2019";"09.12.2019";"20%";"9f640089e0eb51d0473f169a5e9dfb07";"312c52fc0e2be9ba";"79376";"Wed Jul 15 20:45:16 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"20%";"9f640089e0eb51d0473f169a5e9dfb07";"517ad54044b5cd1f";"79376";"Wed Jul 15 20:45:16 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"22.10.2019";"20%";"9f640089e0eb51d0473f169a5e9dfb07";"efda40df28d2dbde";"79376";"Wed Jul 15 20:45:16 2020"
