"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigung der Veröffentlichung vom 01.03.2019";"11.12.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"bce1a81a22511d34";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.12.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"468007fa3209d090";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigt am 11.12.2019";"01.03.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"848cd19d3e840385";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.01.2018";"95%";"af75d5dc888ac79ae50ee77806ec50af";"e81ea6c6b1785d92";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.10.2016";"95%";"af75d5dc888ac79ae50ee77806ec50af";"6be69cd52e9acefd";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.02.2016";"95%";"af75d5dc888ac79ae50ee77806ec50af";"bbc80c3c75eec440";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"13.02.2015";"95%";"af75d5dc888ac79ae50ee77806ec50af";"d77d84f1f9456df9";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.02.2014";"95%";"af75d5dc888ac79ae50ee77806ec50af";"bd27fe21b040521f";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.02.2013";"95%";"af75d5dc888ac79ae50ee77806ec50af";"0b1ccd9fef23cbb6";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.01.2012";"95%";"af75d5dc888ac79ae50ee77806ec50af";"c682929b4bef35dc";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.02.2011";"95%";"af75d5dc888ac79ae50ee77806ec50af";"a9ad11bdd9f428b2";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"24.02.2010";"95%";"af75d5dc888ac79ae50ee77806ec50af";"a41d279c3f0ddc31";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"08.05.2009";"95%";"af75d5dc888ac79ae50ee77806ec50af";"77a03832726de92b";"12956";"Wed Jul 15 19:41:36 2020"
"iSYS Software GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"17.04.2008";"95%";"af75d5dc888ac79ae50ee77806ec50af";"87e6e1dc23e134e7";"12956";"Wed Jul 15 19:41:36 2020"
