"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"IFG Internationale Fortbildungsgesellschaft mbH Timmendorfer Strand";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"12.05.2020";"100%";"ab583ff6c10622297060f807c76c00aa";"b58ce986e4420c32";"99531";"Wed Jul  8 23:04:42 2020"
"IfG Ingenieurgemeinschaft für Geotechnik GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.03.2020";"100%";"ab583ff6c10622297060f807c76c00aa";"bbea0fb3eb7096c5";"99531";"Wed Jul  8 23:04:42 2020"
"IFGE Gesellschaft für Innovationsforschung und Beratung mbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.02.2020";"100%";"ab583ff6c10622297060f807c76c00aa";"29b526d12065d2ba";"99531";"Wed Jul  8 23:04:42 2020"
"IfG Deutsch-Russische Gesellschaft für Getreidebearbeitung mbH Wiesloch";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.02.2020";"100%";"ab583ff6c10622297060f807c76c00aa";"a947d7a9e79818cf";"99531";"Wed Jul  8 23:04:42 2020"
"IfG Investitionsgesellschaft für Gewerbeanlagen mbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.02.2020";"100%";"ab583ff6c10622297060f807c76c00aa";"9d3d30b814603b96";"99531";"Wed Jul  8 23:04:42 2020"
"IfG Institut für Gebirgsmechanik GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.02.2020";"100%";"ab583ff6c10622297060f807c76c00aa";"bda6c571967acc62";"99531";"Wed Jul  8 23:04:42 2020"
"S-Innovations-Beteiligungsfinanzierungsgesellschaft Rheinland-Pfalz mit beschränkter
                                       Haftung (S-IFG) Budenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.02.2020";"100%";"ab583ff6c10622297060f807c76c00aa";"e25664af21517229";"99531";"Wed Jul  8 23:04:42 2020"
"IFG GmbH Mörfelden-Walldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.01.2020";"100%";"ab583ff6c10622297060f807c76c00aa";"e5f00e22ede23e6c";"99531";"Wed Jul  8 23:04:42 2020"
"IFG International Forwarding Germany GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.01.2020";"100%";"ab583ff6c10622297060f807c76c00aa";"81618c3f0a641a4b";"99531";"Wed Jul  8 23:04:42 2020"
"IfG Ingenieurgesellschaft für Gebäudetechnik GmbH & Co. KG Frankenthal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.12.2019";"100%";"ab583ff6c10622297060f807c76c00aa";"8c3a47c0dbddd06e";"99531";"Wed Jul  8 23:04:42 2020"
