"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"iic group GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.06.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"20feb5d153d1c5b6";"03344";"Mon Jul 13 15:37:52 2020"
"iic group GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.03.2018";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"22b340f0a97007fd";"03344";"Mon Jul 13 15:37:52 2020"
"iic group GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.05.2017";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"2386ad50958445d3";"03344";"Mon Jul 13 15:37:52 2020"
"iic group GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"01.12.2015";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"9cf3f1317db2597e";"03344";"Mon Jul 13 15:37:52 2020"
"iic group GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.02.2015";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"9d92aadf033780c5";"03344";"Mon Jul 13 15:37:52 2020"
"iic group GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"03.01.2014";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"6e72a9381b7afdac";"03344";"Mon Jul 13 15:37:52 2020"
"iic group GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.11.2012";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"8feaa8df456c6446";"03344";"Mon Jul 13 15:37:52 2020"
"iic group GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"20.12.2011";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"883bec0fe49d5b38";"03344";"Mon Jul 13 15:37:52 2020"
"iic group GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"19.01.2011";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"6aa8857fe04406fa";"03344";"Mon Jul 13 15:37:52 2020"
"iic group GmbH Hürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"07.01.2010";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"f9128dc3de321539";"03344";"Mon Jul 13 15:37:52 2020"
"Q-Cells AG Bitterfeld-Wolfen";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht für den Zeitraum vom 1. Januar bis 30. September 2007";"04.02.2008";"5%";"61aebb4bfd3899b23e2c1374ebe7c217";"c49a2bacdef67444";"03344";"Mon Jul 13 15:37:52 2020"
