"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"IPL GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.03.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"5e395b61249111c5";"17097";"Wed Jul 15 23:39:04 2020"
"IPL Projekt Engineering Leipzig GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.03.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"022e3006403e09ed";"17097";"Wed Jul 15 23:39:04 2020"
"IPL Institut für Produktions- und Logistiksysteme - Prof. Dr. K.-J. Schmidt - GmbH Saarbrücken";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzung der Veröffentlichung vom 17.07.2018";"03.03.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"4c194fbbf82e9e49";"17097";"Wed Jul 15 23:39:04 2020"
"IPL Verwaltungsgesellschaft mbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.02.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"659a18736077dadc";"17097";"Wed Jul 15 23:39:04 2020"
"IPL GmbH Immobilienprojekte Leuker Soest";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"22.01.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"0cf6d3446b0066e5";"17097";"Wed Jul 15 23:39:04 2020"
"IPL Industrie Personal Leasing GmbH Neustadt/Wstr.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"21.01.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"94bccd76f1cf96cb";"17097";"Wed Jul 15 23:39:04 2020"
"IPL Solutions GmbH (vormals: Instar Project Logistics GmbH) Nürnberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.11.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"6b789c93a06d53d5";"17097";"Wed Jul 15 23:39:04 2020"
"ipL Getränkesysteme GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"14.11.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"84697f002450d827";"17097";"Wed Jul 15 23:39:04 2020"
"IPL-Hamburg Averis Ltd. Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.11.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"4dfc825c047b73d5";"17097";"Wed Jul 15 23:39:04 2020"
"IPLS International Packing and Logistic Solutions GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"30.09.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"2ba1a0d2121b6ec2";"17097";"Wed Jul 15 23:39:04 2020"
"IPLS International Packing and Logistic Solutions GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"11.09.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"8988dd565acfac01";"17097";"Wed Jul 15 23:39:04 2020"
"IPL & Koch GmbH Witten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.08.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"fdba3114ef848566";"17097";"Wed Jul 15 23:39:04 2020"
"IPL Deluxe GmbH Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.08.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"11cbd860137d01ff";"17097";"Wed Jul 15 23:39:04 2020"
"IPL Institut für Produktions- und Logistiksysteme - Prof. Dr. K.-J. Schmidt - GmbH Saarbrücken";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.06.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"b33c25b9807282a7";"17097";"Wed Jul 15 23:39:04 2020"
"IPL GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"02.04.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"56925f75e24d88fd";"17097";"Wed Jul 15 23:39:04 2020"
"IPL Projekt Engineering Leipzig GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"01.03.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"4d7b3210caaf64b2";"17097";"Wed Jul 15 23:39:04 2020"
"IPL Verwaltungsgesellschaft mbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.02.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"ea4554749048889c";"17097";"Wed Jul 15 23:39:04 2020"
