"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"itelio Holding GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"17.06.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"55c1e7834ee0cef3";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"05.06.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"7c139dab0a092dca";"69428";"Thu Jul 16 14:00:26 2020"
"itelio Holding GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.08.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"614c7f1c66562df8";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.08.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"a5b5ca89b7da7595";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.09.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"85f5d632a0f1ce4b";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.08.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"dfa696d1bbd93bca";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.01.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"544cd85499cc1e77";"69428";"Thu Jul 16 14:00:26 2020"
"itelio Holding GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2015 bis zum 31.12.2015";"17.01.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"4851dbfe458181e1";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"21.01.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"d58b3d8cabc89ec9";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"22.12.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"f100a53997c8b75d";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.01.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"51d9490729241a3b";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"10.01.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"d30e7600e9708600";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"04.01.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"6e2a613ce80bbbcd";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.01.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"02e95f108e708c36";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"01.02.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"7ceeb38602d0946c";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"12.02.2009";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"2250f5f955bc19d9";"69428";"Thu Jul 16 14:00:26 2020"
"itelio GmbH Kiefersfelden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"17.01.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"0e39f7f5d6ea80f7";"69428";"Thu Jul 16 14:00:26 2020"
