"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.01.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"c3d3bf19a40e43fa";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.01.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"8d0038ce7f71d12c";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"06.04.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"35c9f9bc0b6e4baa";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.05.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"3d6ff112d90ae8b8";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.01.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"0cf53205dcd9c331";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"09.02.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"4b4928214d37048d";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.12.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"06e80023e2e6394f";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"09.10.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"582db568df7eff68";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.11.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"ce502b0cff4e8ce3";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"23.02.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"cc7bcd87f302b691";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.12.2009";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"0b62e767e85fcf47";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg im Breisgau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"02.06.2009";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"225434f447b244b5";"53088";"Thu Jul 16 06:00:10 2020"
"iTernity GmbH Freiburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"22.02.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"707e783b1a08a8f7";"53088";"Thu Jul 16 06:00:10 2020"
