"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Juli.O GmbH Jülich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.02.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"bb293c611588b964";"18517";"Tue Jul 14 22:24:37 2020"
"Juli.O GmbH Jülich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.01.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"6743b01d4ee3dc9b";"18517";"Tue Jul 14 22:24:37 2020"
"Juli.O GmbH Jülich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"04.08.2017";"92%";"c1affca00be00815e8f7ff00abde0b30";"8abbf640177deac9";"18517";"Tue Jul 14 22:24:37 2020"
"Juli.O GmbH Jülich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"26.10.2016";"92%";"c1affca00be00815e8f7ff00abde0b30";"90a621bbb54da239";"18517";"Tue Jul 14 22:24:37 2020"
"Juli.O GmbH Jülich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"20.11.2015";"92%";"c1affca00be00815e8f7ff00abde0b30";"54575ae56e28d3e7";"18517";"Tue Jul 14 22:24:37 2020"
"Juli.O GmbH Jülich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.03.2015";"92%";"c1affca00be00815e8f7ff00abde0b30";"0d3ec931b8cfdfac";"18517";"Tue Jul 14 22:24:37 2020"
"Juli.O GmbH Jülich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.11.2013";"92%";"c1affca00be00815e8f7ff00abde0b30";"4123272edfb6a55c";"18517";"Tue Jul 14 22:24:37 2020"
"Juli.O GmbH Jülich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.07.2012";"92%";"c1affca00be00815e8f7ff00abde0b30";"1ed6fdc35680433a";"18517";"Tue Jul 14 22:24:37 2020"
"Juli.O GmbH Jülich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.09.2011";"92%";"c1affca00be00815e8f7ff00abde0b30";"e7953f5751115b92";"18517";"Tue Jul 14 22:24:37 2020"
"Juli.O GmbH Jülich  (vormals: Bedburg)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"29.11.2010";"92%";"c1affca00be00815e8f7ff00abde0b30";"5b7e6ddb57bcb849";"18517";"Tue Jul 14 22:24:37 2020"
