"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"31.01.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"a598280b51a299c4";"09222";"Wed Jul 15 16:40:56 2020"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.03.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"389052dd2401aab9";"09222";"Wed Jul 15 16:40:56 2020"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.03.2018";"92%";"af75d5dc888ac79ae50ee77806ec50af";"80bdbe45167e27b5";"09222";"Wed Jul 15 16:40:56 2020"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"06.03.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"e725e1d18c475970";"09222";"Wed Jul 15 16:40:56 2020"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"16.02.2016";"92%";"af75d5dc888ac79ae50ee77806ec50af";"e35620c1991d099f";"09222";"Wed Jul 15 16:40:56 2020"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"12.01.2015";"92%";"af75d5dc888ac79ae50ee77806ec50af";"fcf01f6ffb049137";"09222";"Wed Jul 15 16:40:56 2020"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.02.2014";"92%";"af75d5dc888ac79ae50ee77806ec50af";"2b075e64022ecec3";"09222";"Wed Jul 15 16:40:56 2020"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"25.01.2013";"92%";"af75d5dc888ac79ae50ee77806ec50af";"c008a71d61a30700";"09222";"Wed Jul 15 16:40:56 2020"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.01.2012";"92%";"af75d5dc888ac79ae50ee77806ec50af";"2a67f06a3116aaac";"09222";"Wed Jul 15 16:40:56 2020"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.01.2011";"92%";"af75d5dc888ac79ae50ee77806ec50af";"52118e21b64468bc";"09222";"Wed Jul 15 16:40:56 2020"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"04.02.2010";"92%";"af75d5dc888ac79ae50ee77806ec50af";"71d7300aa9addd1f";"09222";"Wed Jul 15 16:40:56 2020"
"lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"29.01.2009";"92%";"af75d5dc888ac79ae50ee77806ec50af";"8634cd910afcbc9f";"09222";"Wed Jul 15 16:40:56 2020"
"Lichtecht GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"16.01.2008";"92%";"af75d5dc888ac79ae50ee77806ec50af";"d20c9710cc88e4bb";"09222";"Wed Jul 15 16:40:56 2020"
