"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"AIG International Real Estate GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. März 2009";"20.08.2009";"45%";"1d7580fe1877930fb5835ea85d1f7b11";"01a3af2db60ef677";"46375";"Mon Jul 13 12:07:26 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"10%";"1d7580fe1877930fb5835ea85d1f7b11";"5b0ca989daa709ee";"46375";"Mon Jul 13 12:07:26 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"10%";"1d7580fe1877930fb5835ea85d1f7b11";"9eae70e63c874fdf";"46375";"Mon Jul 13 12:07:26 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"29.12.2017";"5%";"1d7580fe1877930fb5835ea85d1f7b11";"29820e85ccf8815e";"46375";"Mon Jul 13 12:07:26 2020"
"CPI PROPERTY GROUP Luxembourg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"21.09.2017";"5%";"1d7580fe1877930fb5835ea85d1f7b11";"e65e0fe79b91c4ff";"46375";"Mon Jul 13 12:07:26 2020"
"Landesbank Baden-Württemberg Stuttgart";"Rechnungslegung/ Finanzberichte";"» Half-yearly financial report 2014";"13.04.2017";"5%";"1d7580fe1877930fb5835ea85d1f7b11";"4bb7a3d521fe57ed";"46375";"Mon Jul 13 12:07:26 2020"
"Landesbank Baden-Württemberg Stuttgart";"Rechnungslegung/ Finanzberichte";"» Half-yearly financial report 2015";"13.04.2017";"5%";"1d7580fe1877930fb5835ea85d1f7b11";"14a7f7bc4edc4d8b";"46375";"Mon Jul 13 12:07:26 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"5%";"1d7580fe1877930fb5835ea85d1f7b11";"e52b3e8a6731671a";"46375";"Mon Jul 13 12:07:26 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2010";"26.11.2010";"5%";"1d7580fe1877930fb5835ea85d1f7b11";"30a0d494f976fadf";"46375";"Mon Jul 13 12:07:26 2020"
"Landwirtschaftliche Rentenbank Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"28.08.2009";"5%";"1d7580fe1877930fb5835ea85d1f7b11";"082f8f6d684c3e7c";"46375";"Mon Jul 13 12:07:26 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» 9 Months Report 2007/2008";"22.08.2008";"5%";"1d7580fe1877930fb5835ea85d1f7b11";"42d6db959e4018be";"46375";"Mon Jul 13 12:07:26 2020"
"KUKA AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Group`s interim report to June 30, 2007";"04.10.2007";"5%";"1d7580fe1877930fb5835ea85d1f7b11";"0668c2c68d1f271e";"46375";"Mon Jul 13 12:07:26 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» Konzern-Quartalsbericht vom 1. Juli 2006 bis zum 31. März 2007";"29.08.2007";"5%";"1d7580fe1877930fb5835ea85d1f7b11";"2e34c7870ef3b240";"46375";"Mon Jul 13 12:07:26 2020"
"Beta Systems Software AG Berlin";"Rechnungslegung/ Finanzberichte";"» Quartalsbericht über das 1. Quartal 2007";"02.07.2007";"5%";"1d7580fe1877930fb5835ea85d1f7b11";"4c41df9a78034378";"46375";"Mon Jul 13 12:07:26 2020"
