"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Reinhardt Microtech GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.04.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"4e104e2889bc62b9";"92732";"Wed Jul 15 09:33:45 2020"
"Microtech Gefell GmbH Gefell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.02.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"10f98a1c075c2f02";"92732";"Wed Jul 15 09:33:45 2020"
"microtech GmbH Bad Kreuznach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.02.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"a2aac80a67c66089";"92732";"Wed Jul 15 09:33:45 2020"
"microtech GmbH electronic Teltow";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.12.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"abf7b0dee1b50966";"92732";"Wed Jul 15 09:33:45 2020"
"4JET microtech GmbH (vormals: 4JET microtech Verwaltungs-GmbH) Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.08.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"d8a7520c56dfe011";"92732";"Wed Jul 15 09:33:45 2020"
"4JET microtech GmbH & Co. KG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 und Liquidationsschlussbilanz";"02.08.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"055dc1d07f2e869a";"92732";"Wed Jul 15 09:33:45 2020"
"Microtech Gefell GmbH Gefell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigung der Veröffentlichung vom 25.01.2019";"13.03.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"356d7257ad7dcb5e";"92732";"Wed Jul 15 09:33:45 2020"
"microtech GmbH electronic Teltow";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"01.03.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"f8d8f45aab3b4ca1";"92732";"Wed Jul 15 09:33:45 2020"
"DIA-Nielsen MicroTech GmbH Einbeck";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.01.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"2f74a16181c7b79c";"92732";"Wed Jul 15 09:33:45 2020"
"Microtech Gefell GmbH Gefell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigt am 13.03.2019";"25.01.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"4b95acd824abac79";"92732";"Wed Jul 15 09:33:45 2020"
"FormFactor GmbH (vormals: Cascade Microtech GmbH) Thiendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.12.2018";"100%";"af75d5dc888ac79ae50ee77806ec50af";"77ccd56b5dab217a";"92732";"Wed Jul 15 09:33:45 2020"
"microtech GmbH Bad Kreuznach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"21.11.2018";"100%";"af75d5dc888ac79ae50ee77806ec50af";"57cd4ee16d3739d6";"92732";"Wed Jul 15 09:33:45 2020"
"FormFactor GmbH (vormals: Cascade Microtech GmbH) Thiendorf";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"19.11.2018";"100%";"af75d5dc888ac79ae50ee77806ec50af";"3993b295320c53f9";"92732";"Wed Jul 15 09:33:45 2020"
"Reinhardt Microtech GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"17.07.2018";"100%";"af75d5dc888ac79ae50ee77806ec50af";"edb2210ce10cf701";"92732";"Wed Jul 15 09:33:45 2020"
"4JET microtech GmbH & Co. KG Alsdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.06.2018";"92%";"af75d5dc888ac79ae50ee77806ec50af";"a2d63a308c348530";"92732";"Wed Jul 15 09:33:45 2020"
"microtech GmbH electronic Teltow";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"16.03.2018";"92%";"af75d5dc888ac79ae50ee77806ec50af";"77e701cd0bb6a048";"92732";"Wed Jul 15 09:33:45 2020"
"Reinhardt Microtech GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.03.2018";"92%";"af75d5dc888ac79ae50ee77806ec50af";"a2a97793060c52d3";"92732";"Wed Jul 15 09:33:45 2020"
"microtech GmbH Bad Kreuznach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"30.10.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"5dec936d3402c365";"92732";"Wed Jul 15 09:33:45 2020"
"Microtech Gefell GmbH Gefell";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"26.10.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"f379454400cab794";"92732";"Wed Jul 15 09:33:45 2020"
"Cascade Microtech GmbH Thiendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"28.07.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"a91319d53c9e5bbc";"92732";"Wed Jul 15 09:33:45 2020"
