"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DMG MORI AKTIENGESELLSCHAFT Bielefeld";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"15.04.2020";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"991d65db7405fdde";"39978";"Wed Jul 15 11:46:49 2020"
"Deutsche Pfandbriefbank AG Garching";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"01.04.2020";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"d5a270a38b6dd95f";"39978";"Wed Jul 15 11:46:49 2020"
"LBS-Beteiligungsgesellschaft mbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"04.10.2019";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"3b7f594bce5c40b0";"39978";"Wed Jul 15 11:46:49 2020"
"Vereinigte Volksbank eG Sindelfingen";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"15.07.2019";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"c68b09d16457f273";"39978";"Wed Jul 15 11:46:49 2020"
"GK Software SE Schöneck/Vogtl.";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"28.05.2019";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"75cf03f9bab2608d";"39978";"Wed Jul 15 11:46:49 2020"
"GK Software SE Schöneck/Vogtl.";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"13.05.2019";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"95b92c0534b9cbf1";"39978";"Wed Jul 15 11:46:49 2020"
"LBS-Beteiligungsgesellschaft mbH & Co. KG München";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"11.10.2018";"100%";"e3d38d25a1d2f9f002a20e1ec49591d2";"c5a9c858062d21f1";"39978";"Wed Jul 15 11:46:49 2020"
"CompuGroup Medical SE Koblenz";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"12.06.2018";"50%";"e3d38d25a1d2f9f002a20e1ec49591d2";"2f4df7dc7ea5aa48";"39978";"Wed Jul 15 11:46:49 2020"
"Synaxon AG Schloß Holte-Stukenbrock";"Rechnungslegung/ Finanzberichte";"» Zwischenmitteilung nach § 37 WpHG";"17.02.2014";"50%";"e3d38d25a1d2f9f002a20e1ec49591d2";"7d83ca349009bdf2";"39978";"Wed Jul 15 11:46:49 2020"
"Synaxon AG Schloß Holte-Stukenbrock";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2013";"16.09.2013";"50%";"e3d38d25a1d2f9f002a20e1ec49591d2";"f48b542da1b38d57";"39978";"Wed Jul 15 11:46:49 2020"
