"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"opus 5 interaktive medien gmbh Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.11.2015";"98%";"c1affca00be00815e8f7ff00abde0b30";"83345bca522a13e7";"41991";"Wed Jul 15 16:43:29 2020"
"opus 5 interaktive medien gmbh Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.11.2014";"98%";"c1affca00be00815e8f7ff00abde0b30";"8d569acf201eeb14";"41991";"Wed Jul 15 16:43:29 2020"
"opus 5 interaktive medien gmbh Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"11.11.2013";"98%";"c1affca00be00815e8f7ff00abde0b30";"239deb679ca0fc13";"41991";"Wed Jul 15 16:43:29 2020"
"opus 5 interaktive medien gmbh Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"24.12.2012";"98%";"c1affca00be00815e8f7ff00abde0b30";"517d7e34837e9f28";"41991";"Wed Jul 15 16:43:29 2020"
"opus 5 interaktive medien gmbh Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.12.2011";"98%";"c1affca00be00815e8f7ff00abde0b30";"a0872432da1d08fb";"41991";"Wed Jul 15 16:43:29 2020"
"opus 5 interaktive medien berlin gmbh Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"22.07.2011";"98%";"c1affca00be00815e8f7ff00abde0b30";"78dbf736b2d6d5d0";"41991";"Wed Jul 15 16:43:29 2020"
"opus 5 interaktive medien gmbh Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.12.2010";"98%";"c1affca00be00815e8f7ff00abde0b30";"ec7ed0406f9e7490";"41991";"Wed Jul 15 16:43:29 2020"
"opus 5 interaktive medien berlin gmbh Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.12.2010";"98%";"c1affca00be00815e8f7ff00abde0b30";"378a8d859e1e046d";"41991";"Wed Jul 15 16:43:29 2020"
"opus 5 interaktive medien gmbh Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"21.12.2009";"98%";"c1affca00be00815e8f7ff00abde0b30";"37c9f98c9d4e9807";"41991";"Wed Jul 15 16:43:29 2020"
"opus 5 interaktive medien berlin gmbh Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"21.12.2009";"98%";"c1affca00be00815e8f7ff00abde0b30";"9db9fbb7a44368b1";"41991";"Wed Jul 15 16:43:29 2020"
"opus 5 interaktive medien gmbh Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"22.12.2008";"98%";"c1affca00be00815e8f7ff00abde0b30";"b5c3d750f2abf7e7";"41991";"Wed Jul 15 16:43:29 2020"
"opus 5 interaktive medien gmbh Dreieich";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"21.12.2007";"98%";"c1affca00be00815e8f7ff00abde0b30";"f4f650fb231a179b";"41991";"Wed Jul 15 16:43:29 2020"
