"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"orbiz Software GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.11.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"5240392dbdde40c5";"68859";"Thu Jul 16 01:58:47 2020"
"orbiz Software GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.08.2017";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"a942bfd999bc41fc";"68859";"Thu Jul 16 01:58:47 2020"
"orbiz Software GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.07.2016";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"9b731d614ff7ada5";"68859";"Thu Jul 16 01:58:47 2020"
"orbiz Software GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"08.01.2016";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"0cbde2333eb42458";"68859";"Thu Jul 16 01:58:47 2020"
"orbiz Software GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.06.2014";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"a7b75a7bd20c0834";"68859";"Thu Jul 16 01:58:47 2020"
"orbiz Software GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"08.01.2014";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"e394d6e8992273e4";"68859";"Thu Jul 16 01:58:47 2020"
"orbiz Software GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.02.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"6e3ce8f8e8faa319";"68859";"Thu Jul 16 01:58:47 2020"
"orbiz Software GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.03.2012";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"b9b1a864441b8fa9";"68859";"Thu Jul 16 01:58:47 2020"
"orbiz Software GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"11.02.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"ad2a1a2bf9e34999";"68859";"Thu Jul 16 01:58:47 2020"
"orbiz Software GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"25.01.2010";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"dd57213d79ef487b";"68859";"Thu Jul 16 01:58:47 2020"
"orbiz Software GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"05.02.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"b2ad31de7ba7c606";"68859";"Thu Jul 16 01:58:47 2020"
