"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigung der Veröffentlichung vom 27.08.2019";"07.10.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"7e6fbf6da18863e7";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigt am 07.10.2019";"27.08.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"4221e74a9fdb02ed";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"26.07.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"ca6c52ef991ef454";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.08.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"bec6c522bb94811a";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"11.07.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"dc944efc62e26349";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.07.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"0a4dc93d5482df93";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"15.07.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"c8dc6ed8ea13e0d3";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"19.09.2013";"95%";"c1affca00be00815e8f7ff00abde0b30";"12203997b06a0420";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.10.2012";"95%";"c1affca00be00815e8f7ff00abde0b30";"f60043240f039693";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"04.10.2011";"95%";"c1affca00be00815e8f7ff00abde0b30";"6612d8bbf2edc31f";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.09.2010";"95%";"c1affca00be00815e8f7ff00abde0b30";"14efc2b3887320ee";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG telecommunications internet security München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"09.11.2009";"95%";"c1affca00be00815e8f7ff00abde0b30";"515f9ac59b49fe9a";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"19.05.2008";"95%";"c1affca00be00815e8f7ff00abde0b30";"4d5f3fc006cc3b3d";"27110";"Wed Jul 15 05:52:04 2020"
"planet 33 AG München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"01.04.2008";"95%";"c1affca00be00815e8f7ff00abde0b30";"2ae4c03f53a01e3b";"27110";"Wed Jul 15 05:52:04 2020"
"CECONOMY AG Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Konzern-Halbjahresbericht zum 31. März 2019";"14.06.2019";"50%";"c1affca00be00815e8f7ff00abde0b30";"ba03626796b3f123";"27110";"Wed Jul 15 05:52:04 2020"
"Sparkasse Paderborn-Detmold (Lippische Spar- und Leihekasse) Paderborn und Detmold";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"13.08.2019";"10%";"c1affca00be00815e8f7ff00abde0b30";"e92cb8cae9e5fb1a";"27110";"Wed Jul 15 05:52:04 2020"
"Rocket Internet SE Berlin";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2016";"07.12.2016";"5%";"c1affca00be00815e8f7ff00abde0b30";"180f9f3749818048";"27110";"Wed Jul 15 05:52:04 2020"
