"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"polargold GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.02.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"07f096b6b6d98881";"20640";"Wed Jul 15 15:47:41 2020"
"polargold GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.04.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"90b1b515c9c791c9";"20640";"Wed Jul 15 15:47:41 2020"
"polargold GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"23.04.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"caa06f654a243604";"20640";"Wed Jul 15 15:47:41 2020"
"polargold GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"17.01.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"62993ad8b03e17dc";"20640";"Wed Jul 15 15:47:41 2020"
"polargold GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"25.01.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"da57597dd545988b";"20640";"Wed Jul 15 15:47:41 2020"
"polargold GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"28.01.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"46874656e6e4b138";"20640";"Wed Jul 15 15:47:41 2020"
"polargold GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.02.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"deb6d377b6d990ef";"20640";"Wed Jul 15 15:47:41 2020"
"polargold GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"06.02.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"8782b75f82f4d328";"20640";"Wed Jul 15 15:47:41 2020"
"polargold GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.01.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"d9180a16621f5efd";"20640";"Wed Jul 15 15:47:41 2020"
"polargold GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"06.12.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"2070184e0178ae0f";"20640";"Wed Jul 15 15:47:41 2020"
"polargold GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 26.11.2008 bis zum 31.12.2008";"19.01.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"69f71f35532f737b";"20640";"Wed Jul 15 15:47:41 2020"
