"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"umwerk systems GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"14.06.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"3f1109d0258cbc80";"12324";"Wed Jul 15 11:13:00 2020"
"umwerk GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.05.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"3ba62c6e0bac9301";"12324";"Wed Jul 15 11:13:00 2020"
"umwerk systems GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.03.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"83729aa61344dc17";"12324";"Wed Jul 15 11:13:00 2020"
"umwerk GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"21.09.2018";"100%";"af75d5dc888ac79ae50ee77806ec50af";"13d563bef108cb4f";"12324";"Wed Jul 15 11:13:00 2020"
"umwerk systems GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"30.10.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"10bb159445fb9c33";"12324";"Wed Jul 15 11:13:00 2020"
"umwerk GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"31.05.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"6c150d6b287fb9fc";"12324";"Wed Jul 15 11:13:00 2020"
"umwerk systems GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"04.11.2016";"92%";"af75d5dc888ac79ae50ee77806ec50af";"70871dd6f28e90ba";"12324";"Wed Jul 15 11:13:00 2020"
"umwerk GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"09.05.2016";"92%";"af75d5dc888ac79ae50ee77806ec50af";"d95afe77bffdba42";"12324";"Wed Jul 15 11:13:00 2020"
"umwerk systems GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"08.04.2016";"92%";"af75d5dc888ac79ae50ee77806ec50af";"6cae888c76793845";"12324";"Wed Jul 15 11:13:00 2020"
"umwerk GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"31.08.2015";"92%";"af75d5dc888ac79ae50ee77806ec50af";"287643865f0d3a04";"12324";"Wed Jul 15 11:13:00 2020"
"umwerk systems GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"27.05.2014";"92%";"af75d5dc888ac79ae50ee77806ec50af";"8c86a5c78a801cd2";"12324";"Wed Jul 15 11:13:00 2020"
"umwerk GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 24.02.2012 bis zum 31.12.2012";"24.09.2013";"92%";"af75d5dc888ac79ae50ee77806ec50af";"7e5456ba9cd8e2af";"12324";"Wed Jul 15 11:13:00 2020"
