"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"23.06.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"1236289bb20bdd65";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.12.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"5775d82e7768b8b5";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.12.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"3b8c9d19c3ef1224";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"25.08.2017";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"cd660231a51f6a9d";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.12.2016";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"b03af66eeceb9d6e";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"09.09.2015";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"4fd843ce3fff671b";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"14.10.2014";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"902a17a6f8a153c1";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"30.09.2013";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"7cef8692cad18593";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"24.05.2012";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"b14e333b38326c11";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"02.12.2011";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"9db858415de62576";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 02.11.2006 bis zum 31.12.2006 Berichtigung der Veröffentlichung vom 10.05.2010";"27.05.2011";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"d40bae93a70af547";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"30.06.2010";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"fa9070766170a102";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg (vormals: Krefeld)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 31.12.2006 bis zum 31.12.2006 Berichtigt am 27.05.2011";"10.05.2010";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"1ab4e6274da44945";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg (vormals: Krefeld)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"28.01.2010";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"6955788e98963906";"89456";"Thu Jul 16 07:50:12 2020"
"unique projects GmbH & Co. KG Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"18.03.2009";"98%";"aba51bcc9fdd59516710d900a8a5ca24";"b7ca77f4e7fcfac0";"89456";"Thu Jul 16 07:50:12 2020"
"CPI PROPERTY GROUP Luxembourg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"21.09.2017";"3%";"aba51bcc9fdd59516710d900a8a5ca24";"272298316098a2ff";"89456";"Thu Jul 16 07:50:12 2020"
