"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"von Busch GmbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.02.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"f1076c2033e72b78";"22972";"Wed Jul 15 07:54:17 2020"
"von Busch GmbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.02.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"5191b33ce83690f0";"22972";"Wed Jul 15 07:54:17 2020"
"von Busch GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.01.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"f024cefe72adbf32";"22972";"Wed Jul 15 07:54:17 2020"
"von Busch GmbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.03.2018";"95%";"c1affca00be00815e8f7ff00abde0b30";"3560140a5faa85cb";"22972";"Wed Jul 15 07:54:17 2020"
"von Busch GmbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.01.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"20c851e6143f5e2b";"22972";"Wed Jul 15 07:54:17 2020"
"Dieter Busche GmbH,  Vermittlung von Kapitalanlagen Kiel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 15.05.2015 und Liquidationsschlussbilanz";"18.11.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"7e4491828dc73f33";"22972";"Wed Jul 15 07:54:17 2020"
"Dieter Busche GmbH,  Vermittlung von Kapitalanlagen Kiel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.11.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"4297b4cd16daf673";"22972";"Wed Jul 15 07:54:17 2020"
"von Busch GmbH Bielefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"06.11.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"71742c70dc468d6e";"22972";"Wed Jul 15 07:54:17 2020"
"Dieter Busche GmbH,  Vermittlung von Kapitalanlagen Kiel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 11.02.2013 bis zum 31.12.2013";"28.04.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"7713d69e7ffe1c11";"22972";"Wed Jul 15 07:54:17 2020"
"Dieter Busche GmbH,  Vermittlung von Kapitalanlagen Kiel";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 11.02.2013";"24.03.2015";"95%";"c1affca00be00815e8f7ff00abde0b30";"e71463d60d8a01fe";"22972";"Wed Jul 15 07:54:17 2020"
