"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Wintermayr Energiekonzepte Systemtechnik GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.01.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"0b1b9ab18a1aca77";"09424";"Tue Jul 14 02:21:55 2020"
"Wintermayr Energiekonzepte Systemtechnik GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.01.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"0d673c4b05496fd5";"09424";"Tue Jul 14 02:21:55 2020"
"Wintermayr Energiekonzepte Systemtechnik GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"09.01.2018";"97%";"9f0e12c7f320e17bd3028846fa49a6eb";"3dfac9c29075003f";"09424";"Tue Jul 14 02:21:55 2020"
"Wintermayr Energiekonzepte Systemtechnik GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.01.2017";"97%";"9f0e12c7f320e17bd3028846fa49a6eb";"7bd6b5b597d3ea3a";"09424";"Tue Jul 14 02:21:55 2020"
"Wintermayr Energiekonzepte Systemtechnik GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.01.2016";"97%";"9f0e12c7f320e17bd3028846fa49a6eb";"d5313ccdefe768f0";"09424";"Tue Jul 14 02:21:55 2020"
"Wintermayr Energiekonzepte Systemtechnik GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.12.2014";"97%";"9f0e12c7f320e17bd3028846fa49a6eb";"d891efb5db8817b7";"09424";"Tue Jul 14 02:21:55 2020"
"Wintermayr Energiekonzepte Systemtechnik GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.12.2013";"97%";"9f0e12c7f320e17bd3028846fa49a6eb";"d7b52dc3c211a842";"09424";"Tue Jul 14 02:21:55 2020"
"Wintermayr Energiekonzepte Systemtechnik GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"11.12.2012";"97%";"9f0e12c7f320e17bd3028846fa49a6eb";"fe24627fd5904111";"09424";"Tue Jul 14 02:21:55 2020"
"Wintermayr Energiekonzepte Systemtechnik GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.12.2011";"97%";"9f0e12c7f320e17bd3028846fa49a6eb";"2fb8e367f0a44037";"09424";"Tue Jul 14 02:21:55 2020"
"Wintermayr Energiekonzepte Systemtechnik GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"23.12.2010";"97%";"9f0e12c7f320e17bd3028846fa49a6eb";"f2cd97ea7582b47c";"09424";"Tue Jul 14 02:21:55 2020"
"Wintermayr Energiekonzepte Systemtechnik GmbH Ulm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"18.12.2009";"97%";"9f0e12c7f320e17bd3028846fa49a6eb";"08f6bca0f9c91d6e";"09424";"Tue Jul 14 02:21:55 2020"
