"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.09.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"7f15ba7a9a79f2f4";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"02.04.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"0bd99d787e449b80";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"31.01.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"bc4fafe0847715b1";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"26.01.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"15f67af6e700580d";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"07.01.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"05e9571c4a023d9a";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"12.01.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"035b9866bf1a13f3";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.01.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"2eabd62357f1b51c";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"15.03.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"c949a9b4dec4ffff";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"06.02.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"942fcceeb8a764e8";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.01.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"c7e159fdf9b3d299";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"12.03.2010";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"ba733d8326e1fe30";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"30.01.2009";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"837524904ac69315";"32569";"Thu Jul 16 14:07:57 2020"
"wissenswerft GmbH Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"04.04.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"149613f143e59bb7";"32569";"Thu Jul 16 14:07:57 2020"
