"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.12.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"617c911b76b1a689";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"29.10.2018";"100%";"af75d5dc888ac79ae50ee77806ec50af";"b760e9d0eba3104d";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"18.10.2017";"97%";"af75d5dc888ac79ae50ee77806ec50af";"f89a646ce2040cfb";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.03.2016";"97%";"af75d5dc888ac79ae50ee77806ec50af";"014fd6cda783e49b";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"22.12.2015";"97%";"af75d5dc888ac79ae50ee77806ec50af";"01f1b1d628fe8d1a";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"11.06.2014";"97%";"af75d5dc888ac79ae50ee77806ec50af";"c4f7675d7122a516";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"08.11.2013";"97%";"af75d5dc888ac79ae50ee77806ec50af";"a0283fa036619684";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.05.2012";"97%";"af75d5dc888ac79ae50ee77806ec50af";"ad611d6458578ff3";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"08.08.2011";"97%";"af75d5dc888ac79ae50ee77806ec50af";"fe76a46e8c9fc6c8";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"12.05.2010";"97%";"af75d5dc888ac79ae50ee77806ec50af";"e3c474c98943aa3c";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"02.09.2009";"97%";"af75d5dc888ac79ae50ee77806ec50af";"8378805367a3fefb";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"16.12.2008";"97%";"af75d5dc888ac79ae50ee77806ec50af";"585bd6e2180b2b1f";"87572";"Wed Jul 15 15:08:37 2020"
"x-root Software GmbH Rosenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"03.03.2008";"97%";"af75d5dc888ac79ae50ee77806ec50af";"455bd4dc21b26c7d";"87572";"Wed Jul 15 15:08:37 2020"
