"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"zeitfairtrieb GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.05.2019";"100%";"88426519579bf8ffca70373896765f3e";"1532abf906650ac1";"66084";"Wed Jul  8 23:30:36 2020"
"zeitfairtrieb GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"19.09.2018";"100%";"88426519579bf8ffca70373896765f3e";"aa7f72c5864d720f";"66084";"Wed Jul  8 23:30:36 2020"
"zeitfairtrieb GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.11.2017";"92%";"88426519579bf8ffca70373896765f3e";"83e75d03421f5f8f";"66084";"Wed Jul  8 23:30:36 2020"
"zeitfairtrieb GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"24.05.2016";"92%";"88426519579bf8ffca70373896765f3e";"263216884eb4133a";"66084";"Wed Jul  8 23:30:36 2020"
"zeitfairtrieb GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"27.07.2015";"92%";"88426519579bf8ffca70373896765f3e";"f3833b817302dde9";"66084";"Wed Jul  8 23:30:36 2020"
"zeitfairtrieb GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"24.07.2014";"92%";"88426519579bf8ffca70373896765f3e";"5e9283044891b066";"66084";"Wed Jul  8 23:30:36 2020"
"zeitfairtrieb GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"23.09.2013";"92%";"88426519579bf8ffca70373896765f3e";"b793ae701fc85eff";"66084";"Wed Jul  8 23:30:36 2020"
"zeitfairtrieb GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"15.03.2012";"92%";"88426519579bf8ffca70373896765f3e";"607b62e9fab5cfa6";"66084";"Wed Jul  8 23:30:36 2020"
"zeitfairtrieb GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.04.2011";"92%";"88426519579bf8ffca70373896765f3e";"71539e21e41649eb";"66084";"Wed Jul  8 23:30:36 2020"
"zeitfairtrieb GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"13.04.2010";"92%";"88426519579bf8ffca70373896765f3e";"0b19c7865cb97dbf";"66084";"Wed Jul  8 23:30:36 2020"
"zeitfairtrieb GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"26.08.2009";"92%";"88426519579bf8ffca70373896765f3e";"ec0142b1bb3ffb59";"66084";"Wed Jul  8 23:30:36 2020"
